"wavelength";"Alb";"PLP";"Com"
"466.5";331,9550559;31,9741;517,2448169
"467";331,9550559;25,6033;517,2448169
"467.5";331,9550559;25,6033;493,7336889
"468";331,9550559;22,849;493,7336889
"468.5";331,9550559;22,849;493,7336889
"469";331,9550559;22,849;493,7336889
"469.5";331,9550559;22,849;470,2225608
"470";331,9550559;22,849;470,2225608
"470.5";331,9550559;16,4782;470,2225608
"471";331,9550559;16,4782;470,2225608
"471.5";331,9550559;16,4782;446,7114328
"472";331,9550559;17,3642;446,7114328
"472.5";331,9550559;17,3642;446,7114328
"473";331,9550559;17,3642;446,7114328
"473.5";331,9550559;14,6099;446,7114328
"474";331,9550559;14,6099;423,2003047
"474.5";331,9550559;14,6099;423,2003047
"475";331,9550559;14,6099;423,2003047
"475.5";331,9550559;8,2391;423,2003047
"476";331,9550559;8,2391;399,6891767
"476.5";331,9550559;16,4782;399,6891767
"477";331,9550559;16,4782;399,6891767
"477.5";331,9550559;16,4782;399,6891767
"478";331,9550559;16,4782;399,6891767
"478.5";331,9550559;16,4782;399,6891767
"479";331,9550559;16,4782;376,1780487
"479.5";331,9550559;16,4782;376,1780487
"480";331,9550559;16,4782;376,1780487
"480.5";331,9550559;16,4782;376,1780487
"481";331,9550559;16,4782;376,1780487
"481.5";331,9550559;16,4782;376,1780487
"482";331,9550559;16,4782;376,1780487
"482.5";331,9550559;16,4782;376,1780487
"483";331,9550559;16,4782;376,1780487
"483.5";331,9550559;16,4782;352,6669206
"484";331,9550559;16,4782;352,6669206
"484.5";331,9550559;16,4782;352,6669206
"485";331,9550559;10,1073;352,6669206
"485.5";331,9550559;10,1073;352,6669206
"486";331,9550559;16,4782;352,6669206
"486.5";331,9550559;16,4782;352,6669206
"487";331,9550559;10,1073;352,6669206
"487.5";331,9550559;10,1073;329,1557926
"488";331,9550559;1,8682;329,1557926
"488.5";331,9550559;10,1073;329,1557926
"489";331,9550559;10,1073;329,1557926
"489.5";331,9550559;10,1073;329,1557926
"490";331,9550559;10,1073;329,1557926
"490.5";331,9550559;10,1073;329,1557926
"491";331,9550559;10,1073;329,1557926
"491.5";331,9550559;10,1073;305,6446645
"492";331,9550559;10,9934;305,6446645
"492.5";331,9550559;10,1073;305,6446645
"493";331,9550559;10,9934;305,6446645
"493.5";331,9550559;10,9934;305,6446645
"494";331,9550559;10,9934;305,6446645
"494.5";331,9550559;10,9934;305,6446645
"495";331,9550559;10,9934;305,6446645
"495.5";331,9550559;10,9934;305,6446645
"496";331,9550559;10,9934;305,6446645
"496.5";331,9550559;10,9934;305,6446645
"497";331,9550559;10,9934;305,6446645
"497.5";331,9550559;10,9934;305,6446645
"498";331,9550559;10,9934;305,6446645
"498.5";331,9550559;10,9934;305,6446645
"499";331,9550559;10,9934;305,6446645
"499.5";331,9550559;10,9934;305,6446645
"500";331,9550559;10,9934;305,6446645
