"wavelength","2MF3H","2MF3H_adj.r.squared","PLP","PLP_adj.r.squared"
"190",13409.7222222222,-0.17430969435498,6655.99999999999,0.419347191386786
"190.5",20111.1111111111,0.695758080966018,6826,0.23360931208383
"191",18694.4444444444,0.948223875725258,9725.99999999999,0.393250077337198
"191.5",16166.6666666667,0.959953001349617,10334,0.941262764776496
"192",11538.1944444444,0.143200127214927,13184,0.750930708148839
"192.5",10611.1111111111,-0.118390641778676,3888,0.315730065446006
"193",16541.6666666667,0.549601260870289,6930,0.767526342960483
"193.5",26166.6666666667,0.896376797577931,7064,0.865942350591561
"194",22506.9444444444,0.566991278449665,12970,0.829523752418321
"194.5",13472.2222222222,0.603712277024861,14080,0.513073872695311
"195",18159.7222222222,0.549295147898487,10336,0.756934100459761
"195.5",26729.1666666667,0.513819171647628,9944,0.647613300007799
"196",17920.1388888889,0.905128043261782,10674,0.911674076311049
"196.5",10875,0.23442522797718,18172,0.80000390526827
"197",14034.7222222222,0.946963735342395,15254,0.85332439768307
"197.5",11392.3611111111,0.697734365699167,9610,0.941844782446417
"198",11010.4166666667,0.776718195496359,3704,0.260474892540191
"198.5",15680.5555555556,0.918131044400003,15380,0.837882877529265
"199",14559.0277777778,0.763329635909546,9862,0.994286196568424
"199.5",8111.11111111111,0.998132035067811,7590,0.785508289023749
"200",8399.30555555556,0.997580453215015,5708,0.863144588690495
"200.5",9496.52777777778,0.9968243465431,5526,0.85192451065985
"201",9111.11111111111,0.999145631631661,4588,0.877418352888622
"201.5",9138.88888888889,0.999057384971826,4582,0.811939567292751
"202",9420.13888888889,0.998874678501391,4458,0.834412687612747
"202.5",9319.44444444445,0.999428856881192,4546,0.842910155183902
"203",9322.91666666667,0.999344875994385,4556,0.836149504603786
"203.5",9434.02777777778,0.999210801552943,4728,0.832243730332793
"204",9392.36111111111,0.999379103025865,4816,0.841938828408502
"204.5",9399.30555555556,0.999286760187606,4958,0.847563267337805
"205",9381.94444444445,0.999323119891568,5062,0.853704748561442
"205.5",9368.05555555556,0.999349936009755,5200,0.860394541249202
"206",9347.22222222222,0.999396671347269,5346,0.867961057236672
"206.5",9309.02777777778,0.999396299780757,5480,0.875401210593425
"207",9288.19444444445,0.999365104199043,5628,0.884379611046231
"207.5",9260.41666666667,0.999416919454358,5810,0.892202380985114
"208",9211.80555555556,0.999351128424452,5982,0.900957609905899
"208.5",9177.08333333334,0.999346211165637,6162,0.908100052461928
"209",9118.05555555556,0.999394665050894,6331.99999999999,0.915228784746931
"209.5",9069.44444444445,0.999411887089354,6520,0.922805733564199
"210",9006.94444444444,0.999446468151863,6724,0.929708165103266
"210.5",8940.97222222222,0.999450479454791,6932,0.936295450813727
"211",8878.47222222222,0.999393202306412,7148,0.942869772667713
