"label";"residuals.abs";"V2"
210;-0,331098556738299;-0,0981527159571634
210,5;-0,309490278213393;-0,0878435167499411
211;-0,116645031650602;-0,0334331828515011
211,5;-0,102951902996608;-0,0284554734650657
212;0,0913996759985243;0,025760174740995
212,5;0,207299345563442;0,0586253805326476
213;0,131788823083332;0,0356890142939669
213,5;0,212825298650676;0,0580110934801635
214;0,223632377817751;0,0606099080732176
214,5;0,256036245553445;0,0698922407538135
215;0,284485378609602;0,0786958170427669
215,5;0,248152885738164;0,0688147543712498
216;0,115421362322241;0,0314568195580074
216,5;0,0556509598520294;0,0153038609206989
217;-0,10146785734033;-0,0275735366016277
217,5;-0,227174711150442;-0,0618465401150066
218;-0,21211014981847;-0,0604388516365494
218,5;-0,377893813380204;-0,107563991056645
219;-0,411206583762808;-0,121878711213376
219,5;-0,381273336843553;-0,120511200721775
220;-0,278643049604568;-0,0968721490768211
220,5;-0,144063312654059;-0,056378238427605
221;-0,0143467307692386;-0,00640479052198154
221,5;0,0902727715457792;0,0462178842646832
222;0,15649512392487;0,0914962137072442
222,5;0,198021524259262;0,132031953766677
223;0,218734243065063;0,165820819547467
223,5;0,221688403901263;0,190045781312699
224;0,211714836017882;0,203944548711957
224,5;0,192132700927893;0,20632807230229
225;0,157570307750758;0,185050273342053
225,5;0,12499235737953;0,159816337270847
226;0,0944317896745294;0,130647191027296
226,5;0,06512444144887;0,0966238003692433
227;0,0386448414476167;0,060992489658486
227,5;0,0145416539227143;0,0241796706396979
228;-0,00632848484873827;-0,0109907691016642
228,5;-0,0243697324249215;-0,0437989439700242
229;-0,0392191343918374;-0,0723600265532056
229,5;-0,0502225107007416;-0,0945631909258927
230;-0,0569143562997198;-0,108947848965773
230,5;-0,0610017668543497;-0,11803747456337
231;-0,0628522256365109;-0,122304389251821
231,5;-0,0626849525922391;-0,122145270055026
232;-0,0606654212589346;-0,117980204704268
232,5;-0,057202591270947;-0,110707550359874
233;-0,052548379558545;-0,100976901534483
233,5;-0,0469988967199703;-0,0895046595314613
234;-0,0414970005441104;-0,0781046499983257
234,5;-0,0355357603046457;-0,06603932411196
235;-0,0285624775722081;-0,0524467087260523
235,5;-0,0225829668485544;-0,04087414814218
236;-0,0165658580678851;-0,0295555005671456
236,5;-0,0106467395808887;-0,0187277741088631
237;-0,0059320121843599;-0,0102736615593348
237,5;-0,000802370476021941;-0,00137063627608804
238;0,00338413356323219;0,00570007337583324
238,5;0,00768945857754399;0,0127923117244119
239;0,0106933630871425;0,01756177219107
239,5;0,0132915880149158;0,0215737510386558
240;0,0155943926619468;0,0250512331918825
240,5;0,0169253973110313;0,0269212618276304
241;0,0178206825861474;0,028103899363109
241,5;0,0180280957044181;0,0282173981912946
242;0,0181067160220195;0,0281816591782405
242,5;0,0173264360992946;0,0268377263000227
243;0,0164676193121321;0,0254365451222307
243,5;0,0152208003519373;0,023481642011628
244;0,013686400429092;0,0211242482313505
244,5;0,0117744343642376;0,0182097654875312
245;0,00970419183809745;0,0150662813819243
245,5;0,00780387975900054;0,0121916571770044
246;0,00551021693299503;0,008674774768569
246,5;0,00316797595666574;0,00503572716049235
247;0,000729470495594464;0,00117297072776084
247,5;-0,00144601112312004;-0,00235775497003104
248;-0,00339282276249475;-0,00562284183376657
248,5;-0,00443962263788844;-0,00750443312692434
249;-0,00601007415360522;-0,0103729274311447
249,5;-0,00642357763174473;-0,0113651408912681
250;-0,00719602433081501;-0,0130694230490647
250,5;-0,00654056362724054;-0,0122505406016867
251;-0,006868373976603;-0,0132696560598976
251,5;-0,00628942825664541;-0,0125813727878484
252;-0,00491324429528545;-0,0102146451045435
252,5;-0,00344961177929426;-0,00747154381480238
253;-0,000309287298479122;-0,000702127805854987
253,5;0,00119535001801668;0,00284066068920314
254;0,00324968899641914;0,00811407989118387
254,5;0,0055363288523339;0,0145692864535103
255;0,00663457838665399;0,0183885210273115
255,5;0,00882001573261831;0,0258879240757802
256;0,010764111384826;0,0335226140916413
256,5;0,0113339161790368;0,037380990036401
257;0,0116918148463958;0,0408947703616503
257,5;0,0128953447560689;0,0480810766445522
258;0,0139970785031514;0,0557430446162937
258,5;0,0145445681090182;0,0618654534624338
259;0,0130803477917921;0,059000215569653
259,5;0,0117419915456755;0,056235591693848
260;0,0100622211475462;0,0511032054217686
260,5;0,00886905969301052;0,0478890912149596
261;0,00718602535525176;0,0411335166299471
261,5;0,00493235975941078;0,0298027780024821
262;0,00252328517165998;0,0160514323896945
