"term";"name";"area"
"kev.auc.gaussian(label, 3.89993853769734, 214.318484252397, 7.18305789408053)";"215";59,6388602726335
"kev.auc.gaussian(label, 0.663765397174248, 243.093215216955, 12.8209730138019)";"244";18,117480405815
"kev.auc.gaussian(label, 0.569112603106342, 296.781755918195, 14.8493702635092)";"299";17,991544420833
"kev.auc.gaussian(label, 0.062122689370227, 394.760829906253, 37.2491168627572)";"401";4,92638597306541
