"Component";"Constant";"St.Deviation";"Validity"
"HL";4,87304687499999;0,0528106257343017;"-Inf"
"H2L";6,56757812500002;1,30155277506013;"Insignificant"
"HOH";14;0;"OK"
"HOHD";-14;0;"OK"
