"particle"	"signal"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"Porf"	"e"	7.913	8.23483737004332	8.47303177222997	8.55949030317569	8.58492814151987	8.59566689083397	8.60145584824197	8.60505259468063
"Porf"	"r"	3.665	3.74605727657981	3.80604841300122	3.82782369445787	3.8342303947823	3.83693503338386	3.83839302799397	3.83929889773951
"Porf"	"s"	3.665	3.72050387850592	3.76158274142575	3.7764933542286	3.78088032147411	3.78273231970154	3.78373067992515	3.7843509737797
"Porf"	"t"	4.489	4.6732536801439	4.80962129707359	4.85911928529678	4.87368258938088	4.87983058294971	4.88314479318502	4.88520395045823
