"signal"	"L"	"HL"
"C3"	112.22	116.829381059787
"C4"	111.42	112.393662705324
"C5"	144.12	146.728343080597
"C6"	131.6	128.658642376836
"CH"	150.49	151.609925233625
"Me"	18.97	17.340430897332
"Men"	62.58	60.8287121907232
