"data";"observation";"dilution";"deviation";"series";"volumes";"heats";"heats.calculated";"res.abs";"res.rel"
1;-4,8339;0;0,01;"a";1;-4,8339;-5,18553965830729;-0,351639658307294;0,0727445040872367
2;-4,9764;0;0,01;"b";1;-4,9764;-5,20756283902778;-0,23116283902778;0,0464518203978338
3;-5,5926;0;0,01;"c";1;-5,5926;-4,98413672186518;0,608463278134817;-0,108797925497053
