rn;p(Hydr);Hydr;Hydr;2Hydr+Cu
S_1;4.083045303377627;81.29446712796258;0.0005624203012347578;18.70497045760325
S_2;4.188505171866399;63.76775392067646;0.0004411650710826132;36.23180491453526
S_3;4.317791703646318;47.34941180805709;0.0003275778954360868;52.65026061404868
S_4;4.45339690600625;34.65049044706485;0.0002397228244881011;65.34927042873656
S_5;4.577814929170737;26.019045638495825;0.00018000781606464648;73.98077435895777
S_6;4.68117888116933;20.50819370856202;0.00014188203565188053;79.49166440940645
S_7;4.766556609451578;16.84805154789819;0.00011656003860474673;83.15183193969132
S_8;4.839305579036503;14.249535676458546;9.858270102188319e-05;85.75036574091338
S_9;4.903574462440121;12.28943253008336;8.502210039330329e-05;87.71048244781633
S_10;4.366957870124582;42.28130876907697;0.00029251518897433745;57.718398716997086
S_11;4.1484531732422925;71.04717707827014;0.0004915263749910913;28.952331400547447
