"","H_1","L_1","M_1","H + L_1","L + M_1","L + M_2","- H + M_1","- H_1"
"1",0.01,0.00159906197467226,0.00957260529518797,0.0220731998796241,0.000431415205585847,1.5092484693796e-05,1.20511960631875e-09,1.3182567385564e-12
"2",0.001,0.00746057733257826,0.00803478285214112,0.010298463554744,0.00168945481308799,0.000275752219578445,1.01151923108085e-08,1.3182567385564e-11
"3",1e-04,0.00776186976714186,0.00398114666497287,0.00107143628904595,0.000870912509929782,0.00014789070543138,5.01196670461394e-08,1.3182567385564e-10
