data,wave.length,1,2,3,4,5,6,7,8,9,10
observation,200,0.511,0.890,1.282,1.658,1.980,2.381,2.657,2.905,3.059,3.235
observation,300,0.566,0.695,0.833,0.952,1.057,1.197,1.296,1.364,1.425,1.466
observation,400,0.948,0.905,0.871,0.803,0.749,0.712,0.677,0.640,0.615,0.599
deviaton,200,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
deviaton,300,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
deviaton,400,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
