"wavelength"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"
"190"	-0.220042538499587	0.922835379627073	-0.586488632589718	-0.445144856829274	-0.00303077609960497	0.459622853189016	-0.4418906451772	0.734614557377101	0.486991899614375	0.254830804609549
"190.5"	-0.348020671485867	-0.489112025825869	-0.323452935319151	-0.193556882090648	0.0968101534209176	0.199504421137178	0.076727872669995	-0.186070110186433	0.00514703251019266	0.414121145454647
"191"	-0.201370189688147	0.141244873475911	0.500941494316303	-0.248291234010855	-0.414852467485781	-0.252761417273458	1.17671973901338	0.0243638915549493	0.516838867309782	-0.131541278544765
"191.5"	-0.0458231312200474	-0.181408821269927	-0.23768505232115	0.0207305699169551	-0.400254109992568	0.106738295173154	0.603990716238323	0.104088700857506	0.301873539897949	-0.145663170352043
"192"	0.44901615407216	0.095422507821331	0.755788838125268	0.195957003690331	-0.118356382087676	0.0912863819289208	-0.0977438991216728	-0.184160349824868	0.123852432925756	-0.0800960854423854
"192.5"	-0.269197663264164	-0.183320370749585	-0.467768392792357	-0.19757712084829	-0.107225539361778	-0.208060052456814	-0.0968211851076103	0.038496819366436	0.208598935409775	0.397260265894302
"193"	-0.0958096333590931	-0.0795599889069461	0.101459230664547	0.442025049414525	-0.254824578833982	-0.236238375797264	0.290852726033589	0.112211243726763	-0.138328063384682	0.137850714340178
"193.5"	-0.484280289326095	-0.222506499404751	-0.242080481868722	-0.122180138570663	-0.297384082967491	0.127512630809464	0.292337663721405	0.192740180826704	-0.17535245294989	0.259587096417626
"194"	0.268953785914129	1.03653747179663	0.107367999092048	0.134386076985972	0.0187456888182399	0.0429317800350237	-0.199977351791025	0.429461129392094	-0.172532993321757	-0.0837298054746765
"194.5"	0.252583223884019	-0.0436232383941965	0.464605406031612	-0.284526874495724	0.300028495316294	0.2125822049188	-0.0746302107873103	-0.0412338504202178	-0.14677849497534	0.0804069069745441
