"wavelength";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8"
"299";0,0366559763509586;-0,00712189653207784;-0,0157467693743412;-0,0324991414453566;-0,0262515134727523;0,0209961135703767;0,0149880889557812;0,00897914199171268
"345";0,0175432414386527;-0,00387295158991696;-0,00937474164780894;-0,017805200500947;-0,0102356594789708;0,0263338794905201;0,0187032134240472;-0,0212917811150568
"388";-0,0131779057893602;-0,000244107150750739;0,005480532088179;0,00637947089650626;0,0132784094977257;0,0241773455939556;0,00404701191926682;-0,0399407570720549
