"Mc","D","McD","McD2"
0.01,4.33885058002131e-22,9.56611494904438e-21,2.77890686626906e-42
0.00919622884493033,3.96415128000803e-05,0.000803749823493085,2.13321590286174e-08
0.00801631860813554,0.000112228566997202,0.00198353235214585,1.49041223944155e-07
0.00650135708521003,0.000244041532932341,0.00349807136515955,5.71552478151669e-07
0.00473893960974426,0.000503367153959071,0.00525928793879814,1.77245624988322e-06
0.00304758273508197,0.00103399603765024,0.00694760757439059,4.80969854166843e-06
0.00147927731244631,0.00260800410933193,0.00850587054726112,1.48521984182167e-05
0.000655231534993729,0.0064408632276646,0.00930464415767761,4.01243073290955e-05
0.000286630419954679,0.0152154546433958,0.00961541680571184,9.79527765176556e-05
0.000171867732633118,0.0255013592957073,0.00966314683044107,0.000164985436925824
0.000118211042852659,0.0369989639501603,0.0096429188644584,0.000238870092692399
8.53913228571724e-05,0.0509260586462476,0.00958770600103186,0.000326902676621877
6.43804291322751e-05,0.0669923339511857,0.00950911011495383,0.0004265094787744
4.95406751673084e-05,0.0861332738344904,0.00940792348415582,0.000542535840676911
4.55472710769717e-05,0.0932994611320951,0.00936919758994124,0.000585255138981874
3.78906780390354e-05,0.111000645832478,0.00927296847640295,0.000689140845561003
2.83237379284926e-05,0.1455069976304,0.009086473154979,0.000885203107569292
1.97877613233131e-05,0.201560710398425,0.00879353394839264,0.00118667837249121
1.33792036093173e-05,0.284400378588642,0.00838921518142537,0.00159740561496777
8.93384361285774e-06,0.40007534555783,0.00788026887296713,0.00211079728641227
6.06981085343974e-06,0.546692045822475,0.00731608620076842,0.00267784398837815
5.0599532611101e-06,0.630105635581579,0.00702944067505704,0.00296549937168277
4.06008001711034e-06,0.745039050269512,0.00666921210952269,0.00332672781052765
3.11703684756902e-06,0.905590858551543,0.00622350248120104,0.00377338048733454
2.25960852692389e-06,1.13869672768832,0.00567286147126153,0.00432487892021154
1.56310926491076e-06,1.46475925500643,0.00504796678791379,0.00495047010284603
1.03229624031374e-06,1.92144771197467,0.004373144392066,0.00562582333427399
6.57794286639004e-07,2.54801166663103,0.00369532304246133,0.00630401916325357
3.1419407945059e-07,3.95622324874869,0.0027405623605282,0.00725912344539235
1.48034296856385e-07,6.05906806037073,0.00197755730385694,0.00802229467056259
8.81240891527733e-08,8.05270018471765,0.00156457746947518,0.00843533440643734
5.56437797194945e-08,10.3123185874732,0.00126512618643825,0.00873481817590249
3.65126193817466e-08,12.8948548179846,0.00103805495936428,0.00896190852801647
