data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;225,5;1,087;1,196;1,346;1,504;1,662;1,796;1,94;2,066;2,187;2,268
observation;226;1,099;1,207;1,354;1,509;1,665;1,795;1,939;2,061;2,18;2,26
observation;226,5;1,112;1,218;1,362;1,514;1,666;1,795;1,935;2,056;2,173;2,25
observation;227;1,125;1,23;1,371;1,52;1,668;1,796;1,933;2,052;2,166;2,241
observation;227,5;1,139;1,241;1,379;1,525;1,671;1,796;1,931;2,049;2,158;2,232
observation;228;1,152;1,253;1,387;1,53;1,673;1,795;1,927;2,042;2,151;2,226
observation;228,5;1,165;1,264;1,395;1,535;1,674;1,794;1,924;2,036;2,145;2,218
observation;229;1,177;1,274;1,402;1,539;1,675;1,792;1,919;2,031;2,137;2,208
observation;229,5;1,189;1,283;1,409;1,543;1,676;1,79;1,914;2,024;2,126;2,2
observation;230;1,202;1,294;1,415;1,546;1,674;1,787;1,908;2,014;2,115;2,186
observation;230,5;1,214;1,303;1,421;1,548;1,673;1,782;1,901;2,005;2,104;2,171
observation;231;1,226;1,312;1,427;1,55;1,671;1,778;1,893;1,995;2,094;2,162
observation;231,5;1,236;1,32;1,431;1,551;1,669;1,773;1,886;1,985;2,08;2,146
observation;232;1,247;1,328;1,435;1,551;1,665;1,767;1,876;1,973;2,066;2,13
observation;232,5;1,257;1,335;1,438;1,551;1,661;1,758;1,866;1,958;2,051;2,114
observation;233;1,267;1,341;1,441;1,55;1,656;1,751;1,854;1,948;2,035;2,096
observation;233,5;1,275;1,346;1,442;1,547;1,651;1,742;1,843;1,933;2,02;2,081
observation;234;1,283;1,351;1,443;1,544;1,644;1,733;1,83;1,917;2,003;2,061
observation;234,5;1,29;1,355;1,443;1,54;1,636;1,722;1,817;1,901;1,985;2,042
observation;235;1,296;1,358;1,443;1,537;1,63;1,712;1,804;1,885;1,969;2,022
observation;235,5;1,301;1,36;1,441;1,532;1,621;1,702;1,79;1,869;1,949;2,003
observation;236;1,305;1,362;1,439;1,526;1,613;1,69;1,775;1,852;1,93;1,982
observation;236,5;1,309;1,362;1,436;1,52;1,603;1,678;1,761;1,835;1,912;1,963
observation;237;1,311;1,361;1,432;1,513;1,593;1,665;1,744;1,816;1,891;1,941
observation;237,5;1,311;1,359;1,427;1,506;1,582;1,652;1,729;1,8;1,872;1,923
observation;238;1,311;1,357;1,422;1,497;1,571;1,638;1,714;1,78;1,852;1,9
observation;238,5;1,31;1,354;1,416;1,488;1,561;1,625;1,698;1,762;1,833;1,88
observation;239;1,308;1,35;1,409;1,48;1,549;1,61;1,682;1,745;1,813;1,86
observation;239,5;1,305;1,345;1,401;1,47;1,537;1,597;1,666;1,727;1,795;1,841
observation;240;1,301;1,339;1,394;1,46;1,525;1,584;1,651;1,711;1,777;1,822
observation;240,5;1,296;1,332;1,385;1,449;1,512;1,569;1,635;1,694;1,758;1,803
observation;241;1,29;1,324;1,376;1,438;1,5;1,555;1,62;1,678;1,742;1,785
observation;241,5;1,283;1,316;1,366;1,427;1,487;1,541;1,605;1,661;1,725;1,768
observation;242;1,274;1,307;1,355;1,415;1,475;1,527;1,59;1,645;1,706;1,75
observation;242,5;1,264;1,296;1,344;1,402;1,461;1,513;1,574;1,628;1,69;1,732
observation;243;1,254;1,285;1,332;1,389;1,448;1,499;1,559;1,613;1,674;1,716
observation;243,5;1,242;1,272;1,319;1,376;1,433;1,484;1,544;1,597;1,657;1,7
observation;244;1,229;1,26;1,305;1,362;1,419;1,47;1,529;1,582;1,642;1,684
observation;244,5;1,214;1,245;1,291;1,347;1,404;1,454;1,514;1,566;1,626;1,667
observation;245;1,199;1,229;1,276;1,332;1,389;1,439;1,498;1,551;1,609;1,652
observation;245,5;1,182;1,213;1,259;1,315;1,373;1,423;1,482;1,535;1,593;1,636
observation;246;1,164;1,196;1,242;1,299;1,357;1,408;1,467;1,519;1,578;1,621
observation;246,5;1,144;1,177;1,224;1,282;1,34;1,391;1,45;1,503;1,563;1,605
observation;247;1,124;1,157;1,206;1,264;1,322;1,374;1,434;1,487;1,547;1,59
observation;247,5;1,101;1,135;1,185;1,244;1,303;1,356;1,417;1,471;1,53;1,574
observation;248;1,077;1,112;1,163;1,223;1,284;1,338;1,4;1,453;1,514;1,559
observation;248,5;1,05;1,087;1,14;1,201;1,263;1,317;1,38;1,436;1,497;1,542
observation;249;1,024;1,062;1,116;1,179;1,242;1,298;1,362;1,418;1,48;1,526
observation;249,5;0,995;1,035;1,09;1,155;1,22;1,277;1,342;1,4;1,463;1,509
observation;250;0,966;1,008;1,065;1,131;1,198;1,256;1,323;1,382;1,446;1,494
observation;250,5;0,934;0,978;1,037;1,106;1,173;1,234;1,302;1,363;1,427;1,476
observation;251;0,904;0,949;1,011;1,081;1,151;1,213;1,283;1,345;1,411;1,46
observation;251,5;0,872;0,92;0,983;1,055;1,128;1,191;1,263;1,326;1,393;1,444
observation;252;0,839;0,889;0,954;1,029;1,103;1,168;1,242;1,307;1,375;1,427
observation;252,5;0,806;0,858;0,926;1,002;1,079;1,146;1,221;1,288;1,356;1,409
observation;253;0,771;0,825;0,895;0,974;1,052;1,121;1,198;1,267;1,337;1,391
observation;253,5;0,738;0,795;0,867;0,948;1,028;1,099;1,177;1,247;1,319;1,374
observation;254;0,706;0,764;0,838;0,922;1,004;1,076;1,156;1,228;1,301;1,356
observation;254,5;0,672;0,733;0,81;0,895;0,979;1,052;1,135;1,208;1,282;1,339
observation;255;0,642;0,705;0,784;0,87;0,956;1,031;1,114;1,189;1,264;1,322
observation;255,5;0,612;0,676;0,757;0,845;0,932;1,008;1,093;1,17;1,245;1,305
observation;256;0,582;0,649;0,73;0,82;0,909;0,987;1,073;1,151;1,227;1,287
observation;256,5;0,556;0,624;0,707;0,797;0,887;0,966;1,054;1,133;1,21;1,272
observation;257;0,532;0,6;0,684;0,776;0,867;0,947;1,036;1,116;1,193;1,256
