label	value
1700.20158	0
1699.71939	0.00265
1699.2372	0.00391
1698.75501	0.00367
1698.27282	0.00256
1697.79063	0.00126
1697.30844	2.80E-04
1696.82625	0
1696.34406	2.40E-04
1695.86187	0.00163
1695.37968	0.00332
1694.89749	0.00418
1694.4153	0.004
1693.93311	0.00322
1693.45092	0.00235
1692.96873	0.00164
1692.48654	0.0012
1692.00435	0.00101
1691.52216	0.00103
1691.03997	0.00126
1690.55778	0.00169
1690.07559	0.00228
1689.5934	0.00291
1689.11121	0.00345
1688.62903	0.00394
1688.14684	0.0044
1687.66465	0.00467
1687.18246	0.00465
1686.70027	0.00441
1686.21808	0.00425
1685.73589	0.00466
1685.2537	0.00621
1684.77151	0.009
1684.28932	0.01228
1683.80713	0.01509
1683.32494	0.01708
1682.84275	0.01826
1682.36056	0.01877
1681.87837	0.01895
1681.39618	0.01927
1680.91399	0.02001
1680.4318	0.02124
1679.94961	0.02276
1679.46742	0.02424
1678.98523	0.02547
1678.50304	0.02642
1678.02085	0.02718
1677.53866	0.02786
1677.05647	0.02859
1676.57428	0.02956
1676.09209	0.03114
1675.6099	0.03365
1675.12771	0.03679
1674.64552	0.03958
1674.16333	0.04141
1673.68114	0.04249
1673.19895	0.04331
1672.71676	0.04425
1672.23457	0.04556
1671.75238	0.04732
1671.27019	0.04939
1670.788	0.05146
1670.30581	0.05357
1669.82362	0.05616
1669.34143	0.05947
1668.85924	0.06301
1668.37705	0.06608
1667.89486	0.06849
1667.41267	0.07048
1666.93048	0.07232
1666.44829	0.07424
1665.9661	0.07636
1665.48391	0.07865
1665.00172	0.08109
1664.51953	0.08366
1664.03734	0.08648
1663.55515	0.08978
1663.07296	0.09375
1662.59077	0.09815
1662.10858	0.10233
1661.62639	0.1059
1661.1442	0.10899
1660.66201	0.11188
1660.17982	0.11475
1659.69763	0.1177
1659.21544	0.12073
1658.73325	0.12381
1658.25106	0.12685
1657.76887	0.12972
1657.28668	0.1323
1656.80449	0.13445
1656.3223	0.13608
1655.84011	0.13717
1655.35792	0.13793
1654.87573	0.13874
1654.39354	0.13999
1653.91135	0.14193
1653.42916	0.14485
1652.94697	0.14885
1652.46478	0.15287
1651.98259	0.15516
1651.5004	0.15512
1651.01821	0.15355
1650.53602	0.15148
1650.05383	0.1495
1649.57164	0.14783
1649.08945	0.1465
1648.60726	0.14558
1648.12507	0.14505
1647.64288	0.14465
1647.16069	0.14402
1646.6785	0.14323
1646.19631	0.14273
1645.71412	0.14249
1645.23193	0.14169
1644.74974	0.13998
1644.26755	0.13781
1643.78536	0.1357
1643.30317	0.13384
1642.82098	0.1322
1642.33879	0.13065
1641.8566	0.12908
1641.37442	0.12745
1640.89223	0.12581
1640.41004	0.12426
1639.92785	0.12275
1639.44566	0.12113
1638.96347	0.11932
1638.48128	0.11736
1637.99909	0.11543
1637.5169	0.11356
1637.03471	0.11143
1636.55252	0.10906
1636.07033	0.10737
1635.58814	0.10732
1635.10595	0.10819
1634.62376	0.10798
1634.14157	0.10592
1633.65938	0.10275
1633.17719	0.0995
1632.695	0.09669
1632.21281	0.09432
1631.73062	0.09215
1631.24843	0.08999
1630.76624	0.08779
1630.28405	0.08548
1629.80186	0.08299
1629.31967	0.08027
1628.83748	0.07749
1628.35529	0.07504
1627.8731	0.0732
1627.39091	0.07152
1626.90872	0.06922
1626.42653	0.06617
1625.94434	0.06279
1625.46215	0.05932
1624.97996	0.05582
1624.49777	0.05259
1624.01558	0.05027
1623.53339	0.04916
1623.0512	0.04826
1622.56901	0.04633
1622.08682	0.0433
1621.60463	0.03981
1621.12244	0.03644
1620.64025	0.03349
1620.15806	0.03102
1619.67587	0.02894
1619.19368	0.02698
1618.71149	0.02473
1618.2293	0.02191
1617.74711	0.01903
1617.26492	0.01763
1616.78273	0.01878
1616.30054	0.02079
1615.81835	0.0208
1615.33616	0.01876
1614.85397	0.01621
1614.37178	0.01412
1613.88959	0.01261
1613.4074	0.01148
1612.92521	0.01053
1612.44302	0.00967
1611.96083	0.0089
1611.47864	0.00818
1610.99645	0.00744
1610.51426	0.00664
1610.03207	0.00598
1609.54988	0.00563
1609.06769	0.00544
1608.5855	0.005
1608.10331	0.00427
1607.62112	0.00357
1607.13893	0.00314
1606.65674	0.00286
1606.17455	0.00248
1605.69236	0.00195
1605.21017	0.00131
1604.72798	6.70E-04
1604.24579	1.80E-04
1603.7636	0
1603.28141	4.00E-05
1602.79922	1.30E-04
1602.31703	1.00E-04
1601.83484	0
1601.35265	0
1600.87046	7.00E-05
1600.38827	1.10E-04
1599.90608	0
