"";"molecule1";"molecule2";"molecule3"
"1";0;0;1,24725601483196e-13
"2";0;1,68021061924834e-15;1,24090326772755e-13
"3";0;1,29896452976292e-16;1,25360876193636e-13
"4";0;1,17201283264755e-15;1,24090326772755e-13
"5";0;6,54415041576762e-16;1,23878568535941e-13
"6";0;-1,30883008315352e-16;1,23878568535941e-13
"7";0;7,86542579289725e-16;1,24725601483196e-13
"8";0;6,5649254964526e-16;1,24513843246382e-13
"9";0;1,31821611562235e-16;1,25149117956823e-13
"10";0;0;1,26207909140891e-13
"11";0;1,85288457211878e-15;1,32348898008484e-13
"12";0;7,41153828847513e-15;1,57759886426113e-13
"13";0;2,80659472158696e-14;3,12555157536837e-13
"14";0;1,64752708805524e-12;4,20213045132858e-12
"15";0;2,10829797566928e-09;3,00165670144819e-09
"16";0;1,69734948742122e-11;5,1068463422909e-11
"17";0;3,60470911977791e-11;1,53653894214298e-10
"18";0;1,54037942986074e-09;1,04004725550556e-08
"19";0;1,66031956194867e-14;2,18534500391609e-13
"20";0;8,37740945102385e-12;2,10608813104151e-10
"21";0;0;-3,3881317890172e-15
"22";0;3,75405002223106e-14;3,73689760504916e-12
"23";0;9,2486803914712e-12;1,8406313935038e-09
"24";0;0;2,90108784434598e-14
"25";0;5,69120635651697e-14;4,54100715770135e-11
"26";0;8,51150138141751e-12;1,34562618616134e-08
"27";0;5,49833114414202e-16;5,69417898791703e-13
"28";0;7,49554861740574e-14;4,70461157146352e-10
"29";0;0;2,96461531539005e-15
"30";0;2,2151297378794e-16;5,29395592033938e-15
"31";0;7,78543896018391e-14;3,89401671105068e-09
