data;particle;signal;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
observation;tBu_TPP;a;-2,7507;-2,7531;-2,7568;-2,7599;-2,7629;-2,7668;-2,7706;-2,7729;-2,7751;-2,7775;-2,7797;-2,7828;-2,7862;-2,7885;-2,792;-2,796;-2,7992;-2,8031;-2,807;-2,8116;-2,8169;-2,8215;-2,8273;-2,8341;-2,8397;-2,8452
deviation;tBu_TPP;a;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005;0,005
