data,particle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
observation,H,2.0087,2.0339,2.0607,2.0909,2.1194,2.1446,2.1781,2.2150,2.2519,2.2821,2.3140,2.3408,2.3710,2.3945,2.4264
deviaton,H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
