data;wavelength;1;2;3;4;5;6;7;8;9;10
observation;236;1,131;1,937;2,499;3,311;3,93;3,954;3,974;3,995;3,998;4
observation;236,5;1,061;1,8;2,315;3,114;3,748;3,998;4;3,998;3,996;4
observation;237;0,989;1,658;2,126;2,847;3,482;3,91;4;3,954;4;3,995
observation;237,5;0,927;1,539;1,965;2,638;3,244;3,647;3,909;3,987;4;3,991
observation;238;0,865;1,421;1,808;2,418;2,971;3,386;3,781;3,939;3,957;3,991
observation;238,5;0,809;1,316;1,669;2,227;2,745;3,152;3,576;3,749;3,923;4
observation;239;0,755;1,217;1,537;2,044;2,517;2,891;3,218;3,495;3,851;3,986
observation;239,5;0,707;1,128;1,42;1,882;2,317;2,654;2,987;3,238;3,731;3,907
observation;240;0,663;1,049;1,316;1,739;2,142;2,454;2,749;3,008;3,404;3,75
observation;240,5;0,621;0,976;1,221;1,607;1,978;2,264;2,541;2,78;3,142;3,5
observation;241;0,585;0,913;1,138;1,494;1,838;2,101;2,36;2,579;2,912;3,248
observation;241,5;0,55;0,853;1,061;1,388;1,706;1,949;2,184;2,388;2,704;2,996
observation;242;0,519;0,801;0,995;1,296;1,591;1,815;2,034;2,221;2,514;2,778
observation;242,5;0,491;0,753;0,931;1,209;1,484;1,691;1,893;2,066;2,334;2,572
observation;243;0,466;0,712;0,878;1,138;1,396;1,588;1,777;1,938;2,187;2,414
observation;243,5;0,442;0,673;0,829;1,071;1,312;1,492;1,668;1,817;2,047;2,259
observation;244;0,422;0,64;0,786;1,014;1,243;1,411;1,575;1,715;1,931;2,131
observation;244,5;0,403;0,609;0,747;0,961;1,178;1,337;1,491;1,621;1,823;2,011
observation;245;0,387;0,583;0,715;0,918;1,125;1,276;1,422;1,545;1,736;1,915
observation;245,5;0,372;0,56;0,686;0,881;1,079;1,223;1,362;1,479;1,661;1,831
observation;246;0,36;0,542;0,663;0,85;1,042;1,179;1,314;1,425;1,6;1,763
observation;246,5;0,35;0,525;0,642;0,823;1,009;1,142;1,272;1,379;1,547;1,704
observation;247;0,34;0,511;0,626;0,802;0,983;1,112;1,238;1,341;1,505;1,657
observation;247,5;0,332;0,498;0,61;0,781;0,959;1,084;1,208;1,308;1,466;1,614
observation;248;0,324;0,487;0,596;0,764;0,938;1,061;1,181;1,28;1,432;1,578
observation;248,5;0,317;0,477;0,584;0,748;0,919;1,039;1,157;1,253;1,402;1,544
observation;249;0,311;0,468;0,574;0,736;0,904;1,022;1,138;1,232;1,378;1,517
observation;249,5;0,306;0,461;0,565;0,725;0,891;1,008;1,123;1,215;1,359;1,495
observation;250;0,302;0,455;0,559;0,718;0,883;0,999;1,113;1,204;1,347;1,482
observation;250,5;0,298;0,451;0,554;0,713;0,878;0,994;1,108;1,199;1,341;1,476
observation;251;0,295;0,448;0,552;0,712;0,878;0,993;1,108;1,2;1,342;1,477
observation;251,5;0,293;0,447;0,551;0,713;0,879;0,996;1,112;1,204;1,348;1,483
observation;252;0,291;0,445;0,551;0,714;0,881;1;1,116;1,21;1,354;1,491
observation;252,5;0,288;0,444;0,55;0,714;0,883;1,003;1,12;1,214;1,36;1,498
observation;253;0,286;0,442;0,548;0,714;0,883;1,003;1,122;1,216;1,363;1,501
observation;253,5;0,283;0,439;0,546;0,712;0,881;1,002;1,12;1,215;1,363;1,501
observation;254;0,28;0,436;0,542;0,709;0,878;0,999;1,117;1,213;1,36;1,498
observation;254,5;0,276;0,432;0,539;0,706;0,875;0,996;1,115;1,211;1,359;1,497
observation;255;0,274;0,43;0,537;0,704;0,874;0,996;1,115;1,211;1,36;1,499
observation;255,5;0,271;0,428;0,536;0,704;0,876;0,998;1,119;1,216;1,366;1,506
observation;256;0,269;0,427;0,537;0,707;0,88;1,004;1,125;1,224;1,377;1,518
observation;256,5;0,268;0,428;0,539;0,712;0,887;1,013;1,137;1,237;1,392;1,536
observation;257;0,267;0,43;0,543;0,72;0,898;1,027;1,153;1,255;1,413;1,561
observation;257,5;0,267;0,433;0,549;0,731;0,912;1,045;1,174;1,279;1,443;1,594
observation;258;0,267;0,437;0,555;0,741;0,926;1,063;1,194;1,303;1,47;1,624
observation;258,5;0,266;0,439;0,559;0,749;0,937;1,076;1,21;1,321;1,492;1,649
observation;259;0,264;0,439;0,561;0,753;0,943;1,084;1,219;1,331;1,506;1,663
observation;259,5;0,262;0,438;0,561;0,755;0,946;1,087;1,224;1,337;1,513;1,674
observation;260;0,26;0,437;0,56;0,755;0,947;1,09;1,226;1,341;1,518;1,678
observation;260,5;0,258;0,436;0,56;0,756;0,948;1,092;1,23;1,345;1,523;1,686
observation;261;0,256;0,435;0,56;0,758;0,952;1,097;1,236;1,352;1,531;1,696
observation;261,5;0,255;0,435;0,562;0,761;0,957;1,103;1,244;1,361;1,543;1,71
observation;262;0,254;0,436;0,563;0,765;0,962;1,11;1,252;1,371;1,555;1,723
observation;262,5;0,253;0,436;0,565;0,769;0,968;1,118;1,261;1,381;1,568;1,737
observation;263;0,252;0,438;0,569;0,776;0,977;1,129;1,274;1,397;1,586;1,758
observation;263,5;0,253;0,442;0,575;0,786;0,991;1,146;1,294;1,419;1,612;1,79
observation;264;0,254;0,447;0,584;0,799;1,008;1,166;1,318;1,446;1,644;1,825
observation;264,5;0,255;0,451;0,59;0,81;1,022;1,183;1,337;1,468;1,67;1,855
observation;265;0,255;0,454;0,594;0,817;1,031;1,194;1,35;1,482;1,689;1,876
observation;265,5;0,254;0,455;0,596;0,82;1,035;1,2;1,357;1,492;1,699;1,885
observation;266;0,254;0,455;0,597;0,822;1,039;1,204;1,362;1,496;1,705;1,896
observation;266,5;0,253;0,456;0,599;0,826;1,044;1,211;1,37;1,505;1,718;1,907
observation;267;0,254;0,459;0,604;0,833;1,053;1,222;1,383;1,521;1,734;1,929
observation;267,5;0,255;0,463;0,61;0,844;1,067;1,238;1,403;1,543;1,76;1,956
observation;268;0,257;0,468;0,617;0,855;1,081;1,256;1,422;1,565;1,788;1,987
observation;268,5;0,258;0,472;0,623;0,864;1,094;1,271;1,439;1,584;1,811;2,015
observation;269;0,259;0,475;0,628;0,871;1,102;1,282;1,452;1,598;1,826;2,031
observation;269,5;0,259;0,477;0,631;0,877;1,109;1,29;1,461;1,61;1,838;2,044
observation;270;0,26;0,479;0,634;0,882;1,116;1,298;1,471;1,62;1,852;2,061
observation;270,5;0,26;0,482;0,638;0,887;1,124;1,307;1,482;1,632;1,868;2,079
observation;271;0,261;0,485;0,643;0,894;1,132;1,318;1,495;1,646;1,887;2,096
observation;271,5;0,263;0,488;0,648;0,902;1,143;1,331;1,507;1,662;1,901;2,116
observation;272;0,264;0,492;0,654;0,911;1,154;1,344;1,523;1,679;1,922;2,14
observation;272,5;0,266;0,496;0,66;0,92;1,166;1,358;1,538;1,697;1,945;2,16
observation;273;0,267;0,5;0,666;0,93;1,177;1,372;1,556;1,715;1,965;2,187
observation;273,5;0,269;0,505;0,672;0,939;1,19;1,387;1,573;1,735;1,985;2,211
observation;274;0,27;0,509;0,679;0,949;1,203;1,401;1,589;1,754;2,008;2,235
observation;274,5;0,272;0,513;0,685;0,958;1,214;1,416;1,604;1,771;2,029;2,256
observation;275;0,274;0,518;0,691;0,967;1,226;1,429;1,622;1,788;2,047;2,287
observation;275,5;0,275;0,521;0,697;0,976;1,237;1,443;1,635;1,805;2,067;2,304
observation;276;0,277;0,525;0,702;0,984;1,248;1,455;1,651;1,821;2,086;2,323
observation;276,5;0,278;0,529;0,707;0,992;1,257;1,466;1,663;1,836;2,102;2,347
observation;277;0,279;0,531;0,711;0,997;1,265;1,475;1,675;1,848;2,118;2,352
observation;277,5;0,279;0,533;0,714;1,002;1,27;1,482;1,68;1,858;2,125;2,364
observation;278;0,279;0,534;0,715;1,003;1,271;1,484;1,684;1,858;2,133;2,375
observation;278,5;0,278;0,533;0,713;1,002;1,27;1,482;1,682;1,855;2,126;2,344
observation;279;0,277;0,531;0,711;0,998;1,265;1,476;1,675;1,849;2,124;2,358
observation;279,5;0,276;0,527;0,706;0,991;1,256;1,467;1,665;1,836;2,105;2,343
observation;280;0,273;0,523;0,7;0,983;1,245;1,453;1,649;1,819;2,086;2,317
observation;280,5;0,271;0,517;0,693;0,972;1,232;1,438;1,631;1,799;2,065;2,297
