"tot"	"tot"	"tot"	
"H"	"L"	"OH"	"series"
0.00103282338671344	0.000991947450376174	0.000991947450376174	"a"
0.00105592936490488	0.000987931468795704	0.000987931468795704	"a"
0.00107894179662591	0.000983931746249972	0.000983931746249972	"a"
0.00110186106060718	0.000979948216912928	0.000979948216912928	"a"
0.00112468753404602	0.000975980815225021	0.000975980815225021	"a"
0.00114742159261264	0.000972029475892126	0.000972029475892126	"a"
0.00117006361045631	0.000968094133884466	0.000968094133884466	"a"
0.00119261396021155	0.000964174724435541	0.000964174724435541	"a"
0.00121507301300421	0.000960271183041065	0.000960271183041065	"a"
0.00123744113845764	0.000956383445457903	0.000956383445457903	"a"
0.0012597187046987	0.000952511447703012	0.000952511447703012	"a"
0.00128190607836389	0.000948655126052393	0.000948655126052393	"a"
0.00130400362460533	0.000944814417040035	0.000944814417040035	"a"
0.0013260117070968	0.000940989257456877	0.000940989257456877	"a"
0.00134793068803973	0.000937179584349764	0.000937179584349764	"a"
0.00136976092816913	0.000933385335020413	0.000933385335020413	"a"
0.00139150278675953	0.000929606447024379	0.000929606447024379	"a"
0.00141315662163095	0.000925842858170029	0.000925842858170029	"a"
0.00143472278915471	0.000922094506517519	0.000922094506517519	"a"
0.00145620164425935	0.000918361330377771	0.000918361330377771	"a"
0.00147759354043644	0.000914643268311465	0.000914643268311465	"a"
0.00149889882974641	0.000910940259128017	0.000910940259128017	"a"
0.00152011786282436	0.000907252241884584	0.000907252241884584	"a"
0.0015412509888858	0.000903579155885051	0.000903579155885051	"a"
0.00156229855573242	0.000899920940679039	0.000899920940679039	"a"
0.00158326090975779	0.000896277536060905	0.000896277536060905	"a"
0.0016041383959531	0.000892648882068755	0.000892648882068755	"a"
0.00162493135791281	0.000889034918983457	0.000889034918983457	"a"
0.00164564013784029	0.000885435587327653	0.000885435587327653	"a"
0.00166626507655348	0.000881850827864788	0.000881850827864788	"a"
0.00168680651349051	0.000878280581598129	0.000878280581598129	"a"
0.00170726478671525	0.000874724789769797	0.000874724789769797	"a"
0.00172764023292288	0.000871183393859798	0.000871183393859798	"a"
0.00174793318744546	0.000867656335585061	0.000867656335585061	"a"
0.00176814398425742	0.000864143556898482	0.000864143556898482	"a"
0.00178827295598107	0.000860644999987962	0.000860644999987962	"a"
0.00180832043389208	0.00085716060727546	0.00085716060727546	"a"
0.00182828674792491	0.000853690321416045	0.000853690321416045	"a"
0.00184817222667825	0.000850234085296952	0.000850234085296952	"a"
0.00186797719742044	0.00084679184203664	0.00084679184203664	"a"
0.00188770198609485	0.00084336353498386	0.00084336353498386	"a"
0.00190734691732524	0.000839949107716719	0.000839949107716719	"a"
0.00192691231442109	0.000836548504041753	0.000836548504041753	"a"
0.00194639849938294	0.000833161667993	0.000833161667993	"a"
0.00196580579290771	0.000829788543831086	0.000829788543831086	"a"
0.00108548785425101	0.00104488056680162	1E-016	"b"
0.00120071768509564	0.00103853513825829	1E-016	"b"
0.00148704282145553	0.00102276790437785	1E-016	"b"
0.00176902091627148	0.00100724005157859	1E-016	"b"
0.00204671796713781	0.000991947945532358	1E-016	"b"
0.00232019896966102	0.00097688800708804	1E-016	"b"
0.00258952793267224	0.00096205671143387	1E-016	"b"
0.00285476789320859	0.000947450587272424	1E-016	"b"
0.00311598093126717	0.000933066216008167	1E-016	"b"
0.00337322818433497	0.000918900230947314	1E-016	"b"
0.00362656986169831	0.000904949316509855	1E-016	"b"
0.00387606525853487	0.000891210207453531	1E-016	"b"
0.00412177276979193	0.000877679688109601	1E-016	"b"
0.0043637499038538	0.000864354591630204	1E-016	"b"
0.00460205329600177	0.000851231799247154	1E-016	"b"
0.00483673872166975	0.000838308239541985	1E-016	"b"
0.00506786110949865	0.000825580887727076	1E-016	"b"
