data,particle,1,2,3,4,5,6,7,8,9,10
observation,H,3.4808,3.8169,4.1066,4.3017,4.4303,4.5573,4.8981,5.0328,5.1490,5.3318
deviaton,H,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002

