"wavelength","2MF3H","PLP","SB"
"279",72.9166666666667,996,14803.4043578964
"279.5",65.9722222222222,984,15057.2507343718
"280",52.0833333333333,970,15317.4457739575
"280.5",41.6666666666667,958,15578.7559625408
"281",31.25,950,15841.8635281158
"281.5",17.3611111111111,942,16103.0508853717
"282",31.25,930,16335.2203605381
"282.5",17.3611111111111,916,16568.8868595512
"283",6.94444444444444,910,16777.5158384882
"283.5",3.47222222222224,896,16991.8955138993
"284",0,882,17206.4824840611
"284.5",0,878,17403.1657541052
"285",0,870,17571.8437043081
"285.5",0,861.999999999999,17748.3935473617
"286",0,850,17930.0621088092
"286.5",0,844,18096.9470539578
"287",0,832,18269.3305361804
"287.5",0,828,18438.0873063108
"288",0,821.999999999999,18645.7659774007
"288.5",0,818,18854.0145893054
"289",0,816,19042.8655613839
"289.5",0,808,19274.7313164907
"290",0,804,19525.6750605051
"290.5",0,810,19782.8525978777
"291",0,810,20034.0704608718
"291.5",0,810,20294.6324067947
"292",0,810,20572.7429006718
"292.5",0,814,20844.657885946
"293",0,816,21095.1561756417
"293.5",0,816,21344.1362651785
"294",0,828,21563.1006431967
"294.5",0,836,21711.9574209672
"295",0,842,21845.6206224163
"295.5",0,854,21968.4899430686
"296",0,860,21990.4286585172
"296.5",0,880,22027.1411710484
"297",0,888,21998.9930770992
"297.5",0,906,21944.5449285158
"298",0,920,21875.6022601814
"298.5",0,932,21757.0193388112
"299",0,946,21659.3975323631
"299.5",0,972,21525.8011103749
"300",0,988,21377.1244588598
"300.5",0,1012,21260.7276581943
"301",0,1032,21161.8115457945
"301.5",0,1052,21055.5539025291
"302",0,1072,20971.4543405229
"302.5",0,1098,20943.2052394672
"303",0,1118,20893.3114354214
"303.5",0,1144,20895.9217809716
"304",0,1170,20902.9415912392
"304.5",0,1192,20917.5079327189
"305",0,1224,20944.7650286282
"305.5",0,1258,20948.7340222384
"306",0,1284,20951.9202980562
"306.5",0,1312,20991.5392199071
"307",0,1338,20945.3911632376
"307.5",0,1370,20848.2694505618
"308",0,1398,20739.5032879898
"308.5",0,1430,20567.6953449821
"309",0,1464,20348.681961299
"309.5",0,1494,20092.0397738412
"310",0,1528,19773.6031589802
"310.5",0,1556,19447.7269804115
"311",0,1582,19044.4869126968
"311.5",0,1622,18600.9906116581
"312",0,1648,18126.7544154195
"312.5",0,1680,17646.5036059371
"313",0,1708,17167.1496085942
"313.5",0,1740,16702.8420555822
"314",0,1766,16218.2652982261
"314.5",0,1800,15712.7307226814
"315",0,1832,15226.6593005314
"315.5",0,1860,14780.5146533094
"316",0,1886,14360.5619118666
"316.5",0,1918,13968.7558528057
"317",0,1938,13595.7627759713
"317.5",0,1966,13233.524593413
"318",0,1998,12891.7889853738
"318.5",0,2018,12583.8828309883
"319",0,2044,12294.2826095584
"319.5",0,2070,12040.8015351591
"320",0,2090,11821.0053638971
"320.5",0,2110,11618.8093828769
"321",0,2138,11423.5640097792
"321.5",0,2158,11251.5952427769
"322",0,2172,11098.1374064783
"322.5",0,2196,10963.3035301479
"323",0,2216,10842.4050581945
"323.5",0,2230,10731.0076938134
"324",0,2248,10635.2096464308
"324.5",0,2256,10559.2098637515
"325",0,2268,10488.1258076915
"325.5",0,2282,10418.3676371693
"326",0,2290,10366.5747517639
"326.5",0,2296,10326.5263512599
"327",0,2304,10284.4355306323
"327.5",0,2304,10249.1987554353
"328",0,2310,10213.0233451819
"328.5",3.47222222222221,2310,10187.0136954146
"329",0,2310,10163.1939083362
"329.5",0,2316,10136.0643520033
"330",0,2316,10112.7287668101
"330.5",0,2310,10103.6358484001
"331",3.47222222222225,2312,10084.6571186149
"331.5",0,2306,10072.2161408616
"332",0,2304,10054.1384473178
"332.5",0,2298,10046.6644128122
"333",0,2298,10031.1540534159
"333.5",3.47222222222225,2292,10022.3644630116
"334",3.47222222222225,2278,10016.448998193
"334.5",3.47222222222225,2278,9999.87476507437
"335",3.47222222222225,2272,9983.87635715342
"335.5",3.47222222222225,2266,9975.85041852379
"336",3.47222222222225,2260,9965.11080617879
"336.5",3.47222222222225,2252,9948.43963421127
"337",3.47222222222225,2252,9929.74519238921
"337.5",3.47222222222225,2246,9911.22936409859
"338",3.47222222222224,2240,9892.66736532019
"338.5",0,2246,9864.65118954359
"339",0,2246,9839.33539189631
"339.5",0,2246,9813.4149165941
"340",0,2248,9782.76357288121
"340.5",0,2252,9756.71272439552
"341",0,2254,9724.75933512932
"341.5",0,2268,9678.70909573627
"342",0,2276,9632.92374285049
"342.5",0,2286,9589.81980269245
"343",0,2292,9541.06999410504
"343.5",0,2314,9487.03419184482
"344",0,2322,9437.10125454212
"344.5",0,2334,9380.0687077366
"345",0,2360,9300.50417159319
"345.5",0,2380,9235.56739238489
"346",0,2394,9168.15926626463
"346.5",0,2414,9103.5771522283
"347",3.47222222222225,2442,9023.85880857938
"347.5",3.47222222222225,2470,8945.08317683388
"348",13.8888888888889,2494,8868.52635397272
"348.5",3.47222222222225,2522,8781.25947660196
"349",3.47222222222224,2554,8697.40237976958
"349.5",3.47222222222225,2580,8610.48175759714
"350",0,2608,8525.61438035169
"350.5",0,2642,8429.95307513684
"351",0,2674,8327.63303987803
"351.5",0,2708,8230.44226602713
"352",0,2742,8130.58105247237
"352.5",0,2774,8019.13447852235
"353",0,2814,7911.38786169687
"353.5",0,2848,7807.7764929685
"354",0,2888,7689.47334945192
"354.5",0,2928,7573.10297895914
"355",0,2962,7457.64545646021
"355.5",0,3008,7333.75225890562
"356",0,3054,7202.07450173867
"356.5",0,3080,7091.18365534184
"357",0,3132,6957.7600241784
"357.5",0,3166,6840.58749759085
"358",0,3208,6710.137869381
"358.5",0,3252,6571.78017829043
"359",0,3300,6436.95968580537
"359.5",0,3340,6301.97458967766
"360",0,3374,6173.29693797126
"360.5",0,3418,6036.32545721181
"361",0,3466,5893.82416347482
"361.5",0,3512,5752.75102605923
"362",0,3546,5625.24903322068
"362.5",0,3598,5473.58201393824
"363",0,3646,5335.86981926721
"363.5",0,3686,5205.60252033095
"364",0,3730,5070.33042007219
"364.5",0,3772,4935.85573168615
"365",0,3818,4790.13983617136
"365.5",0,3864,4648.27657261363
"366",0,3910,4521.30826897137
"366.5",0,3950,4405.73060139184
"367",0,3992,4286.33053281185
"367.5",0,4030,4171.73817179442
"368",0,4064,4056.41126285187
"368.5",0,4112,3930.97999949859
"369",0,4156,3805.77701809358
"369.5",0,4192,3700.92138485917
"370",0,4230,3602.22773387511
"370.5",0,4268,3503.93255385093
"371",0,4310,3400.18184044313
"371.5",0,4350,3304.39658986109
"372",0,4390,3203.65169425116
"372.5",0,4430,3109.23309375781
"373",0,4462,3030.11793583988
"373.5",0,4490,2952.51682926768
"374",0,4530,2869.389273598
"374.5",0,4556,2796.57395609031
"375",0,4592,2723.97271587878
"375.5",0,4628,2645.04554319331
"376",0,4664,2573.0372939944
"376.5",0,4684,2517.24280577264
"377",0,4718,2451.89032440807
"377.5",0,4738,2399.2804964339
"378",0,4766,2338.62806386383
"378.5",0,4792,2285.4147577788
"379",0,4818,2227.92488953354
"379.5",0,4844,2175.31868502352
"380",0,4872,2119.45070431678
"380.5",0,4892,2074.04545345352
"381",0,4912,2028.297992499
"381.5",0,4932,1981.75378339407
"382",0,4952,1933.1917938342
"382.5",0,4972,1888.67386286067
"383",0,4984,1850.82737113331
"383.5",0,4998,1813.97934784403
"384",0,5018,1770.17425123915
"384.5",0,5024,1734.57269394891
"385",0,5038,1694.52578165679
"385.5",0,5052,1652.51970909885
"386",0,5052,1622.26672065282
"386.5",0,5064,1583.66599372392
"387",0,5072,1545.33247003851
"387.5",0,5078,1509.79676494274
"388",0,5078,1477.10516783908
"388.5",0,5078,1442.98028361664
"389",0,5078,1408.85503675156
"389.5",0,5084,1374.03216602445
"390",0,5072,1347.63485719461
"390.5",0,5066,1312.64124266904
"391",0,5058,1282.04936317767
"391.5",0,5052,1245.65588134211
"392",0,5038,1217.31397135195
"392.5",0,5026,1184.59073004818
"393",0,5010,1154.02454424023
"393.5",0,4996,1122.4838634401
"394",0,4978,1100.33519475678
"394.5",0,4962,1061.39192478893
"395",0,4938,1032.37954236831
"395.5",0,4910,1009.71781261139
"396",0,4890,978.420069479302
"396.5",0,4862,951.210077382532
"397",0,4836,915.99179556692
"397.5",0,4808,886.547257366253
"398",0,4770,865.909622235333
"398.5",0,4736,838.335466231591
"399",0,4702,812.189454033752
"399.5",0,4668,782.13339158789
"400",0,4630,755.411309176841
"400.5",0,4588,727.729932167589
"401",0,4548,699.348902220577
"401.5",0,4508,668.752527167278
"402",0,4462,645.587214197265
"402.5",0,4422,616.546556207538
"403",0,4368,592.861691705791
"403.5",0,4322,565.511061793757
"404",0,4280,530.844061446121
"404.5",0,4220,511.962583395149
"405",0,4168,483.743585822626
"405.5",0,4122,455.733327867877
"406",0,4068,432.761297734785
"406.5",0,4008,413.865709121422
"407",0,3948,392.611474607292
"407.5",0,3888,370.267168130532
"408",0,3834,340.83897618835
"408.5",0,3774,321.236682744615
"409",0,3714,301.767241168077
"409.5",0,3656,279.429941156885
"410",0,3596,260.695906371003
"410.5",0,3528,244.99760035575
"411",0,3468,224.109359235874
"411.5",0,3408,199.894198916912
"412",0,3336,186.655878773509
"412.5",0,3282,159.750033682424
"413",0,3214,149.595657398295
"413.5",0,3150,136.830397644945
"414",0,3082,124.719790898569
"414.5",0,3016,106.854964962827
"415",0,2942,99.7663986188447
"415.5",0,2874,82.3217469618368
"416",0,2810,74.8817629879918
"416.5",0,2742,70.3609448051936
"417",0,2676,63.4652349069544
"417.5",0,2608,51.7815500846941
"418",0,2544,42.2541006294
"418.5",0,2468,38.6126433899845
"419",0,2408,28.0616470004924
"419.5",0,2344,19.2466692712102
"420",0,2276,15.1858235896506
"420.5",0,2210,15.1762454210371
"421",0,2150,9.23811590677072
"421.5",0,2084,3.96149250025755
"422",0,2018,-0.860238896155787
"422.5",0,1950,2.11175518763326
"423",0,1890,1.88447554817932
"423.5",0,1830,-5.00761088590631
"424",0,1764,0.180315348925513
"424.5",0,1710,-5.23592483661085
"425",0,1650,-7.59013490996543
"425.5",0,1590,-3.75074772422903
"426",0,1524,3.53502997117476
"426.5",0,1476,-1.05140120644807
"427",0,1422,4.14934081761238
"427.5",0,1370,6.42081405363305
"428",0,1316,8.14256695299911
"428.5",0,1264,9.99589734011292
"429",0,1212,15.4663643894496
"429.5",0,1170,16.5374562137379
"430",0,1124,16.9856240404932
"430.5",0,1076,25.2142891880152
"431",0,1030,25.9507959929003
"431.5",0,984,26.1906958471591
"432",0,936,32.3066593160296
"432.5",0,895.999999999999,37.3908855487405
"433",0,864,34.8949376458904
"433.5",0,824,39.0248443161383
"434",0,784,45.8470097021186
"434.5",0,750,47.338381054896
"435",0,716,50.7759595334399
"435.5",0,678,55.919341686371
"436",0,650,54.5305986494966
"436.5",0,616,61.2174419110019
"437",0,588,63.7999364722
"437.5",0,556,67.036253443816
"438",0,530,71.0553026356866
"438.5",0,504,72.2269830139397
"439",0,476,78.2739791243956
"439.5",0,452,77.8586412481141
"440",0,430,78.854998818349
"440.5",0,404,83.5719283383394
"441",0,382,86.7093269048653
"441.5",0,362,87.9070993468174
"442",0,342,87.8206424160331
"442.5",0,324,91.2008610234477
"443",0,308,91.9706926205889
"443.5",0,296,90.0536031803809
"444",0,276,92.3106883227453
"444.5",0,256,95.8586448058543
"445",0,250,95.0434271958329
"445.5",0,230,97.5045748919244
"446",0,216,101.072674909341
"446.5",0,208,93.9270497038835
"447",0,194,96.60543469421
"447.5",0,188,95.5958086780398
"448",0,168,101.384032399751
"448.5",0,162,98.4418843558291
"449",0,154,96.6496133073912
"449.5",0,142,101.989840838938
"450",0,136,96.5701628421753
"450.5",0,130,99.4943517839972
"451",0,120,98.5678027618288
"451.5",0,114,96.4471224131707
"452",0,102,101.165760794266
"452.5",0,99.9999999999999,94.1048836584877
"453",0,94,94.5285447610925
"453.5",0,88,93.3795961432472
"454",0,82,91.3059925822478
"454.5",0,82,88.2790577564162
"455",0,74,88.9395059279921
"455.5",0,68,88.0242844831822
"456",0,62,90.0611535352742
"456.5",0,56,85.2727188365417
"457",0,48,90.3105840155555
"457.5",0,54,81.9760589854338
"458",0,48,81.5866588812591
"458.5",0,40,82.7190484199201
"459",0,42,79.4659785326009
"459.5",0,36,80.9703673352709
"460",0,34,79.3256485545573
"460.5",0,28,78.5570268966929
"461",0,30,76.955898079768
"461.5",0,28,74.5372138558249
"462",0,28,69.4059210180932
"462.5",0,28,66.4401735423106
"463",0,22,70.522744600322
"463.5",0,20,72.1238734172469
"464",0,22,65.3528931100162
"464.5",0,22,61.1529847701031
"465",0,16,65.9563712208778
"465.5",0,16,63.2092776967144
"466",0,14,64.0979347876275
"466.5",0,14,58.2739049346477
"467",0,8,62.1378220410398
"467.5",0,8,60.2440331341951
"468",0,8,60.0025479403875
"468.5",0,8,57.4969396100317
"469",0,9.99999999999999,55.1833390670951
"469.5",0,9.99999999999999,52.4638984560712
"470",0,4,54.1626956648899
"470.5",0,2,54.8243551374322
"471",0,2,54.8243551374322
"471.5",0,2,52.2097508378242
"472",0,2,52.68908103678
"472.5",0,2,49.4710009804124
"473",0,2,49.4710009804124
"473.5",0,2,48.312618864223
"474",0,2,45.0136212161183
"474.5",0,2,42.70750178305
"475",0,2,42.70750178305
"475.5",0,2,42.70750178305
"476",0,2,40.8137128762052
"476.5",0,2,40.0928974834419
"477",0,0,38.955276442955
"477.5",0,0,37.7968943267657
"478",0,0,37.7968943267657
"478.5",0,0,37.7968943267657
"479",0,0,36.2358358319312
"479.5",0,0,35.2963664875486
"480",0,0,33.5584273342784
"480.5",0,0,32.1917772455926
"481",0,0,29.6861689152368
"481.5",0,0,26.6339978922027
"482",0,0,26.6339978922027
"482.5",0,0,25.6800409723834
"483",0,0,25.6800409723834
"483.5",0,0,25.6800409723834
"484",0,0,25.6800409723834
"484.5",0,0,25.6800409723834
"485",0,0,24.7405716280008
"485.5",0,0,21.4415739798961
"486",0,0,17.5693155608546
"486.5",0,0,16.4109334446652
"487",0,0,14.5171445378205
"487.5",0,0,14.5171445378205
"488",0,0,14.5171445378205
"488.5",0,0,13.8046728118087
"489",0,0,13.8046728118087
"489.5",0,0,13.5631876180012
"490",0,0,13.5631876180012
"490.5",0,0,9.69600969009831
"491",0,0,9.21667949114252
"491.5",0,0,7.1904013597425
"492",0,0,5.45246220647233
"492.5",0,0,5.45246220647233
"493",0,0,3.55867329962757
"493.5",0,0,2.40029118343821
"494",0,0,2.40029118343821
"494.5",0,0,2.40029118343821
"495",0,0,1.68781945742644
"495.5",0,0,1.68781945742644
"496",0,0,1.68781945742644
"496.5",0,0,1.20848925847065
"497",0,0,-4.39662782270237
"497.5",0,0,-2.90017386323972
"498",0,0,-6.66439114790992
"498.5",0,0,-9.71656217094404
"499",0,0,-9.71656217094404
"499.5",0,0,-9.71656217094404
"500",0,0,-9.71656217094404
