PL
wavelength	7,35E-5	1,47E-4	2,205E-4	2,94E-4
259,00	0,172	0,338	0,519	0,685
259,50	0,163	0,320	0,493	0,651
260,00	0,155	0,304	0,468	0,619
260,50	0,147	0,289	0,445	0,589
261,00	0,140	0,275	0,425	0,562
261,50	0,134	0,263	0,406	0,538
262,00	0,128	0,252	0,390	0,516
262,50	0,124	0,243	0,377	0,499
263,00	0,120	0,235	0,366	0,484
263,50	0,116	0,228	0,355	0,469
264,00	0,113	0,222	0,345	0,456
264,50	0,110	0,216	0,337	0,446
265,00	0,108	0,212	0,330	0,437
265,50	0,106	0,208	0,325	0,429
266,00	0,105	0,205	0,321	0,424
266,50	0,103	0,203	0,317	0,419
267,00	0,103	0,201	0,314	0,415
267,50	0,102	0,200	0,313	0,413
268,00	0,102	0,199	0,312	0,412
268,50	0,102	0,199	0,312	0,411
269,00	0,102	0,200	0,312	0,412
269,50	0,102	0,200	0,313	0,413
270,00	0,102	0,201	0,314	0,415
270,50	0,103	0,203	0,316	0,417
271,00	0,104	0,205	0,319	0,421
271,50	0,105	0,207	0,322	0,425
272,00	0,106	0,210	0,326	0,430
272,50	0,108	0,212	0,330	0,436
273,00	0,109	0,216	0,335	0,442
273,50	0,111	0,219	0,340	0,449
274,00	0,113	0,223	0,346	0,457
274,50	0,116	0,228	0,353	0,465
275,00	0,118	0,233	0,361	0,475
275,50	0,121	0,238	0,368	0,485
276,00	0,124	0,244	0,376	0,496
276,50	0,126	0,250	0,385	0,507
277,00	0,130	0,256	0,395	0,520
277,50	0,133	0,264	0,406	0,534
278,00	0,137	0,271	0,417	0,549
278,50	0,141	0,279	0,428	0,563
279,00	0,146	0,287	0,441	0,580
279,50	0,150	0,297	0,455	0,598
280,00	0,155	0,306	0,469	0,617
280,50	0,160	0,317	0,485	0,637
281,00	0,166	0,328	0,501	0,659
281,50	0,172	0,340	0,518	0,682
282,00	0,178	0,352	0,536	0,705
282,50	0,184	0,363	0,554	0,728
283,00	0,190	0,375	0,571	0,751
283,50	0,197	0,389	0,591	0,778
284,00	0,204	0,403	0,612	0,805
284,50	0,211	0,418	0,634	0,833
285,00	0,218	0,432	0,655	0,862
285,50	0,226	0,447	0,677	0,890
286,00	0,233	0,462	0,699	0,920
286,50	0,241	0,477	0,722	0,949
287,00	0,249	0,492	0,744	0,978
287,50	0,257	0,508	0,767	1,009
288,00	0,265	0,525	0,793	1,042
288,50	0,274	0,542	0,817	1,074
289,00	0,281	0,557	0,840	1,104
289,50	0,290	0,574	0,864	1,136
290,00	0,298	0,590	0,888	1,167
290,50	0,306	0,605	0,910	1,196
291,00	0,314	0,621	0,934	1,228
291,50	0,321	0,636	0,956	1,258
292,00	0,329	0,651	0,978	1,286
292,50	0,336	0,666	1,000	1,315
293,00	0,343	0,679	1,020	1,342
293,50	0,350	0,694	1,041	1,369
294,00	0,357	0,707	1,062	1,395
294,50	0,363	0,719	1,080	1,419
295,00	0,370	0,732	1,099	1,445
295,50	0,375	0,744	1,115	1,467
296,00	0,381	0,755	1,132	1,488
296,50	0,386	0,765	1,147	1,508
297,00	0,390	0,774	1,160	1,526
297,50	0,394	0,782	1,173	1,541
298,00	0,398	0,789	1,183	1,557
298,50	0,401	0,796	1,192	1,569
299,00	0,404	0,801	1,201	1,580
299,50	0,406	0,806	1,207	1,587
300,00	0,408	0,809	1,212	1,593
300,50	0,408	0,811	1,215	1,598
