Spectra calibrating plot PL
282	0,497	0,735	0,955
282,5	0,496	0,733	0,954
283	0,496	0,732	0,952
283,5	0,495	0,731	0,951
284	0,494	0,729	0,948
284,5	0,492	0,727	0,946
285	0,491	0,726	0,944
285,5	0,49	0,724	0,942
286	0,49	0,723	0,94
286,5	0,489	0,723	0,939
287	0,489	0,722	0,939
287,5	0,489	0,722	0,939
288	0,489	0,723	0,94
288,5	0,49	0,724	0,941
289	0,49	0,725	0,943
289,5	0,491	0,726	0,945
290	0,493	0,728	0,947
290,5	0,494	0,729	0,949
291	0,495	0,731	0,951
291,5	0,496	0,733	0,953
292	0,497	0,734	0,956
292,5	0,498	0,736	0,958
293	0,499	0,737	0,96
293,5	0,5	0,739	0,961
294	0,5	0,74	0,963
294,5	0,501	0,741	0,964
295	0,502	0,742	0,966
295,5	0,502	0,742	0,966
296	0,502	0,743	0,967
296,5	0,502	0,743	0,967
297	0,502	0,743	0,967
297,5	0,502	0,742	0,967
298	0,502	0,742	0,967
298,5	0,502	0,742	0,966
299	0,501	0,741	0,964
299,5	0,5	0,74	0,963
300	0,499	0,738	0,962
300,5	0,498	0,737	0,959
301	0,497	0,735	0,957
301,5	0,496	0,733	0,954
302	0,494	0,731	0,951
302,5	0,493	0,728	0,948
303	0,491	0,726	0,945
303,5	0,489	0,722	0,941
304	0,487	0,719	0,937
304,5	0,485	0,716	0,932
305	0,482	0,712	0,928
305,5	0,48	0,708	0,922
306	0,477	0,704	0,917
306,5	0,474	0,7	0,911
307	0,471	0,696	0,906
307,5	0,469	0,691	0,9
308	0,465	0,687	0,894
308,5	0,462	0,682	0,887
309	0,459	0,676	0,88
309,5	0,455	0,671	0,873
310	0,452	0,665	0,866
310,5	0,448	0,66	0,858
311	0,444	0,654	0,85
311,5	0,44	0,648	0,843
312	0,436	0,642	0,835
312,5	0,432	0,636	0,826
313	0,428	0,63	0,818
313,5	0,424	0,624	0,81
314	0,42	0,617	0,801
314,5	0,415	0,61	0,792
315	0,411	0,603	0,783
315,5	0,406	0,596	0,774
316	0,402	0,59	0,765
316,5	0,397	0,583	0,756
317	0,392	0,576	0,746
317,5	0,388	0,568	0,737
318	0,383	0,561	0,727
318,5	0,378	0,553	0,717
319	0,372	0,545	0,706
319,5	0,368	0,538	0,697
320	0,363	0,531	0,687
320,5	0,358	0,523	0,677
321	0,353	0,516	0,667
321,5	0,348	0,508	0,656
322	0,342	0,5	0,646
322,5	0,337	0,492	0,636
323	0,333	0,485	0,626
323,5	0,327	0,476	0,615
324	0,322	0,469	0,605
324,5	0,317	0,461	0,594
325	0,312	0,453	0,584
325,5	0,307	0,445	0,574
326	0,301	0,437	0,563
326,5	0,297	0,43	0,554
327	0,292	0,423	0,544
327,5	0,287	0,415	0,534
328	0,282	0,407	0,523
328,5	0,277	0,399	0,513
329	0,272	0,392	0,504
329,5	0,267	0,385	0,494
330	0,262	0,378	0,484
330,5	0,257	0,37	0,475
331	0,253	0,363	0,464
331,5	0,248	0,355	0,455
332	0,243	0,348	0,445
332,5	0,238	0,341	0,436
333	0,234	0,334	0,427
333,5	0,229	0,327	0,418
334	0,225	0,32	0,409
334,5	0,22	0,313	0,399
335	0,216	0,306	0,39
335,5	0,211	0,299	0,381
336	0,207	0,293	0,372
336,5	0,202	0,286	0,364
337	0,198	0,279	0,355
337,5	0,194	0,273	0,346
338	0,189	0,267	0,338
338,5	0,185	0,26	0,33
339	0,181	0,254	0,321
339,5	0,177	0,248	0,313
340	0,173	0,242	0,305
340,5	0,169	0,235	0,297
341	0,165	0,229	0,289
341,5	0,161	0,224	0,282
342	0,157	0,218	0,274
342,5	0,154	0,213	0,268
343	0,151	0,208	0,261
343,5	0,147	0,202	0,254
344	0,144	0,197	0,247
344,5	0,14	0,192	0,24
345	0,137	0,187	0,234
345,5	0,134	0,182	0,227
346	0,131	0,178	0,221
346,5	0,128	0,174	0,216
347	0,125	0,169	0,21
347,5	0,123	0,165	0,204
348	0,12	0,161	0,199
348,5	0,117	0,157	0,194
349	0,115	0,153	0,189
349,5	0,112	0,149	0,184
350	0,11	0,145	0,179
350,5	0,108	0,142	0,175
351	0,106	0,138	0,169
351,5	0,103	0,135	0,165
352	0,101	0,132	0,16
