"tot","tot","tot","tot","X5"
"M","L","H","OH","series"
"1.0000000000000001E-9","2.0400000000000001E-2","8.8708599532739346E-13","2.1479999999999999E-2","a"
"1.0200000000000001E-2","2.0400000000000001E-2","8.8708599532739346E-13","2.1479999999999999E-2","a"
"1.0000000000000001E-9","2.0400000000000001E-2","8.8708599532739346E-13","2.1479999999999999E-2","b"
"1.0189999999999999E-2","2.0400000000000001E-2","8.8708599532739346E-13","2.1479999999999999E-2","b"
"1.0000000000000001E-9","2.0400000000000001E-2","8.8708599532739346E-13","2.1479999999999999E-2","c"
"1.0200000000000001E-2","2.0400000000000001E-2","8.8708599532739346E-13","2.1479999999999999E-2","c"
