data;observation;dilution;deviation;series
1;-70;0;0.01;a
2;-69.92;0;0.01;b
3;-70.07;0;0.01;c
4;-94.76;0;0.01;d
5;-94.74;0;0.01;e
6;-94.56;0;0.01;f
