"H","L","Ni","HL","NiL","NiL2","NiOH","OH"
0.010251572683919,0.000357775736210871,0.0169921898321317,0.000358427546360258,0.00141182316070724,5.98677836482548e-06,2.28801494059672e-10,1.47641858971594e-12
0.00959438405602835,0.00094455757121681,0.0148877336287937,0.000885616159755447,0.00326570604500934,3.6560112040269e-05,2.14196066331883e-10,1.57754915750449e-12
0.00885583571515882,0.00171495403291288,0.0127634407934864,0.00148416448554733,0.00508323653365789,0.000103322474095915,1.98947376624897e-10,1.70911170568058e-12
0.00810002130813264,0.00265294816939957,0.0108225844458563,0.0020999788783477,0.00666775778735624,0.000209657583031301,1.84435629279105e-10,1.86858921829817e-12
0.00757754399536838,0.00340639623620316,0.00961597040964064,0.00252245618216887,0.00760691124914601,0.0003071181675589,1.75171985150706e-10,1.99742983922145e-12
0.00706454597185617,0.00425197843062981,0.0085214847748592,0.00293545419748988,0.00841446274630578,0.000424052315615085,1.66506432842677e-10,2.14247490845973e-12
0.00657272538767728,0.00518950133563556,0.00754182479402018,0.00333327477422602,0.00908912620749767,0.000559048847206857,1.58391164365021e-10,2.30279094159916e-12
0.00605301628771379,0.00633446558067112,0.00658918506855844,0.00374698386708436,0.00969307901833035,0.000727735780141505,1.50265701476078e-10,2.50050747675731e-12
0.00554881592480289,0.00763886952864616,0.00573162634557517,0.00414218422365722,0.0101678008048354,0.000920572752159395,1.42586218848057e-10,2.72771933498583e-12
0.00514677031694435,0.00885202816773634,0.00509263077567372,0.00445222982685695,0.0104689962509415,0.00109837294233638,1.36586382435383e-10,2.94079812237438e-12
0.00485079763638999,0.00986461528932713,0.00464493755876173,0.0046762025041051,0.0106409425849622,0.0012441199294209,1.32180296866586e-10,3.1202316853659e-12
0.00456932565337187,0.0109391484618359,0.00424054848895236,0.00488467448421617,0.0107727260733421,0.00139672571058506,1.28106133190919e-10,3.31243899703077e-12
0.00431358939264466,0.0120283024207044,0.00388637104378992,0.00507041073523126,0.0108559708196216,0.00154765801222136,1.24367086130255e-10,3.50882086973106e-12
0.00405997087328311,0.0132298851803681,0.00354840996777467,0.00524902925109032,0.0109020942546183,0.00170949565696166,1.20645429160808e-10,3.72801011553136e-12
0.00376757539739514,0.0148009198032013,0.00317447299541187,0.00544942472293022,0.010911398302692,0.00191412858558835,1.16308025960223e-10,4.01733499343548e-12
