"tot";"tot"
"2MF3H";"PLP"
"1,44e-05";"0,0001486"
"2,88e-05";"0,0001486"
"4,32e-05";"0,0001486"
"5,76e-05";"0,0001486"
"7,2e-05";"0,0001486"
"8,64e-05";"0,0001486"
"0,0001008";"0,0001486"
"0,0001152";"0,0001486"
"0,0001296";"0,0001486"
"0,000144";"0,0001486"
