"wavelength";"INH";"PL";"SB"
"259.5";3890;2227,21088435374;8137,48653593721
"260";3930;2117,00680272109;8035,93293564915
"260.5";3970;2016,32653061225;7932,40079496753
"261";4010;1926,5306122449;7834,33503977688
"261.5";4050;1843,53741496599;7738,24453759432
"262";4100;1771,42857142857;7645,06090700483
"262.5";4130;1712,92517006803;7563,29040993494
"263";4170;1663,94557823129;7483,49010295102
"263.5";4210;1613,60544217687;7404,32300299578
"264";4250;1567,34693877551;7329,9333844307
"264.5";4290;1536,05442176871;7259,33366698843
"265";4330;1503,40136054422;7194,16917265917
"265.5";4360;1477,55102040816;7133,60136904119
"266";4390;1459,86394557823;7079,82827219386
"266.5";4420;1444,89795918367;7030,92014090986
"267";4450;1427,21088435374;6990,0976783708
"267.5";4470;1423,12925170068;6953,22192785272
"268";4500;1419,04761904762;6919,62875478203
"268.5";4520;1414,96598639456;6893,96701046299
"269";4550;1417,68707482993;6869,50869389356
"269.5";4570;1423,12925170068;6855,00821811448
"270";4590;1431,2925170068;6842,60529552731
"270.5";4600;1435,37414965986;6841,38067164901
"271";4620;1448,97959183673;6843,11092009137
"271.5";4640;1462,58503401361;6851,17491514051
"272";4650;1480,27210884354;6863,54646742571
"272.5";4660;1499,31972789116;6878,72598100872
"273";4660;1521,08843537415;6899,14296601133
"273.5";4670;1544,21768707483;6921,81730869362
"274";4670;1571,42857142857;6947,30765145267
"274.5";4660;1594,55782312925;6983,71230576885
"275";4660;1631,2925170068;7011,15318913935
"275.5";4660;1662,58503401361;7041,34727601076
"276";4640;1697,95918367347;7073,99561276157
"276.5";4630;1738,77551020408;7102,6824355924
"277";4630;1780,95238095238;7132,77750140024
"277.5";4620;1829,93197278912;7158,91311521738
"278";4610;1880,27210884354;7185,98254223717
"278.5";4600;1925,17006802721;7214,48698119094
"279";4610;1980,95238095238;7240,44758157305
"279.5";4600;2043,53741496599;7270,91095988001
"280";4590;2107,48299319728;7301,3990337336
"280.5";4600;2175,51020408163;7329,28029223077
"281";4590;2247,61904761905;7369,88678151308
"281.5";4580;2323,80952380952;7412,02746549757
"282";4580;2401,36054421769;7447,84364206182
"282.5";4580;2480,27210884354;7485,31736729676
"283";4560;2556,46258503401;7525,81384042201
"283.5";4560;2646,25850340136;7569,432171142
"284";4540;2737,41496598639;7613,76807839898
"284.5";4540;2832,65306122449;7653,98596650877
"285";4530;2931,97278911565;7691,94805027018
"285.5";4520;3023,12925170068;7731,91645841311
"286";4500;3126,5306122449;7771,86984867976
"286.5";4500;3223,12925170068;7801,34523853153
"287";4500;3318,36734693878;7833,43832542753
"287.5";4500;3421,76870748299;7865,89362578158
"288";4510;3536,05442176871;7894,05213735174
"288.5";4510;3639,45578231293;7924,96813713551
"289";4530;3744,21768707483;7947,95622117422
"289.5";4540;3847,61904761905;7984,14784361855
"290";4540;3952,38095238095;8022,24285662781
"290.5";4550;4047,61904761905;8062,9248436228
"291";4560;4156,46258503401;8104,06697736314
"291.5";4570;4259,86394557823;8145,98715029435
"292";4590;4351,02040816327;8192,84361054778
"292.5";4600;4450,34013605442;8249,17391555958
"293";4610;4541,49659863946;8303,61473985427
"293.5";4610;4631,2925170068;8367,58331890837
"294";4630;4719,72789115646;8432,43134576633
"294.5";4630;4801,36054421769;8487,52660058131
"295";4640;4887,07482993197;8553,1428988461
"295.5";4640;4961,90476190476;8618,34569243601
"296";4650;5031,2925170068;8685,71018327224
"296.5";4650;5099,31972789116;8748,9316956349
"297";4650;5161,90476190476;8807,43495909156
"297.5";4650;5213,60544217687;8873,5901225035
"298";4650;5266,66666666667;8930,64646302592
"298.5";4640;5306,12244897959;8996,06289084262
"299";4630;5344,21768707483;9058,79691910571
"299.5";4630;5365,98639455782;9117,30765093313
"300";4630;5385,03401360544;9174,33087799041
"300.5";4610;5406,80272108844;9232,05245930273
"301";4600;5414,96598639456;9279,54726908778
"301.5";4580;5410,8843537415;9334,98574130627
"302";4570;5405,44217687075;9379,53466821433
"302.5";4550;5379,59183673469;9432,49319592564
"303";4540;5361,90476190476;9465,82165736097
"303.5";4520;5321,08843537415;9512,10835455988
"304";4500;5277,55102040816;9551,32730305775
"304.5";4470;5228,57142857143;9585,7677217405
"305";4460;5170,06802721088;9610,84430532277
"305.5";4420;5096,59863945578;9650,49642075315
"306";4400;5016,32653061225;9678,93578515474
"306.5";4370;4921,08843537415;9709,32643097781
"307";4350;4834,01360544218;9721,86573904497
"307.5";4310;4733,33333333333;9743,73738327695
"308";4290;4619,04761904762;9757,72252148029
"308.5";4250;4493,87755102041;9773,33492482152
"309";4210;4361,90476190476;9779,79696582927
"309.5";4180;4225,85034013605;9784,25871564729
"310";4140;4089,79591836735;9785,52997948292
"310.5";4100;3948,29931972789;9787,63441981992
"311";4060;3790,47619047619;9790,79428850819
"311.5";4030;3640,81632653061;9781,17486442758
"312";3990;3476,19047619048;9774,57138599195
"312.5";3940;3317,00680272109;9770,23552406074
"313";3900;3164,62585034014;9757,41494506685
"313.5";3860;3013,60544217687;9744,26595010754
"314";3810;2846,25850340136;9725,25405262952
"314.5";3770;2681,63265306123;9705,57770046222
"315";3720;2518,36734693878;9679,72531798206
"315.5";3680;2364,62585034014;9656,32515088456
"316";3630;2214,96598639456;9640,97943107411
"316.5";3590;2074,82993197279;9613,91396656582
"317";3540;1934,69387755102;9582,8265019933
"317.5";3490;1798,63945578231;9549,42284702677
"318";3440;1661,22448979592;9519,0957369445
"318.5";3390;1538,77551020408;9479,0671192694
"319";3340;1410,8843537415;9444,17511903595
"319.5";3290;1307,48299319728;9411,36018098908
"320";3240;1208,16326530612;9372,20155408512
"320.5";3190;1111,56462585034;9337,92796299768
"321";3140;1017,68707482993;9300,33509429921
"321.5";3080;936,054421768708;9258,73651332749
"322";3040;858,503401360544;9213,38976345594
"322.5";2990;790,476190476191;9177,80428610759
"323";2930;730,612244897959;9143,21405837079
"323.5";2880;668,027210884354;9099,86463309978
"324";2830;617,687074829932;9054,75374277275
"324.5";2770;572,789115646258;9018,10026618107
"325";2720;530,612244897959;8979,01774922094
"325.5";2670;495,238095238095;8936,27285328539
"326";2620;462,585034013606;8896,67703351299
"326.5";2570;436,734693877551;8861,5303111666
"327";2520;417,687074829932;8822,92373727254
"327.5";2470;394,557823129252;8785,22252739679
"328";2410;382,312925170068;8745,99748470515
"328.5";2360;367,34693877551;8707,35968215133
"329";2320;355,102040816327;8672,33855357396
"329.5";2270;345,578231292517;8638,46310132401
"330";2220;341,496598639456;8606,3917018651
"330.5";2180;336,054421768708;8574,57024664778
"331";2110;331,972789115646;8542,25735605366
"331.5";2070;331,972789115646;8511,93910393981
"332";2020;331,972789115646;8482,98909147009
"332.5";1980;336,054421768708;8453,81601719042
"333";1930;336,054421768708;8431,00942270336
"333.5";1890;344,21768707483;8407,41588622946
"334";1840;345,578231292517;8394,95374915153
"334.5";1790;353,741496598639;8378,53299761278
"335";1740;359,183673469388;8364,59452670438
"335.5";1700;368,707482993197;8350,35667986985
"336";1650;375,510204081633;8343,30895649581
"336.5";1620;385,034013605442;8335,95097817654
"337";1570;394,557823129252;8336,54722459517
"337.5";1520;404,081632653061;8339,62329784603
"338";1490;412,244897959184;8343,07948985282
"338.5";1450;421,768707482993;8351,33788211934
"339";1400;439,455782312925;8364,51759845717
"339.5";1360;448,979591836735;8382,47804548324
"340";1320;458,503401360544;8403,75898618133
"340.5";1280;472,108843537415;8429,75339606915
"341";1240;485,714285714286;8451,63828485089
"341.5";1210;499,319727891157;8482,15983569873
"342";1170;512,925170068027;8521,69555586848
"342.5";1140;526,530612244898;8555,90605967103
"343";1100;540,136054421769;8597,45327870467
"343.5";1070;552,380952380952;8643,10620599688
"344";1030;565,986394557823;8693,27999142764
"344.5";1000;580,952380952381;8744,98011604604
"345";970;598,639455782313;8792,50143871136
"345.5";930;606,802721088435;8859,74292876491
"346";900;625,850340136054;8921,4919890486
"346.5";880;639,455782312925;8980,33819534573
"347";849,999999999999;657,142857142857;9050,97006622164
"347.5";809,999999999999;670,748299319728;9128,04709334277
"348";790;688,43537414966;9201,69661832085
"348.5";769,999999999999;703,401360544218;9281,07387044051
"349";740;715,646258503401;9359,91205888635
"349.5";719,999999999999;734,69387755102;9444,80719229157
"350";690;751,020408163265;9540,64339952452
"350.5";670;770,068027210884;9631,51976923345
"351";630;787,755102040816;9739,33692266879
"351.5";620;805,442176870748;9841,61088893239
"352";590;819,047619047619;9948,07639788323
"352.5";569,999999999999;840,816326530612;10063,7594020959
"353";550;859,863945578231;10173,0609246376
"353.5";530;877,551020408163;10284,7314146424
"354";510;896,598639455783;10414,1388930386
"354.5";490;918,367346938776;10545,3926913646
"355";470;931,972789115646;10675,7321242719
"355.5";450;951,020408163266;10810,0218280066
"356";430;968,707482993197;10953,6916766761
"356.5";409,999999999999;991,836734693877;11090,1402101894
"357";400;1013,60544217687;11226,528195627
"357.5";380;1027,21088435374;11362,3171692001
"358";360;1050,34013605442;11508,262985564
"358.5";350;1068,02721088435;11656,9523756415
"359";340;1091,15646258503;11798,7695840196
"359.5";320;1108,84353741497;11959,1693041822
"360";310;1130,61224489796;12109,328865692
"360.5";300;1145,57823129252;12259,8137072432
"361";280;1167,34693877551;12410,3674419988
"361.5";270;1186,39455782313;12571,1684107205
"362";250;1208,16326530612;12718,8398372838
