"V1","V2","V3"
1.67565091175556,0.883347347562436,0.257020353198539
1.57021878455187,0.924554881986242,0.409465315309465
1.47243536706139,0.962772962647033,0.550850960925413
1.38323937995503,0.997634696029619,0.679819988056316
1.29902058792247,1.0305511216328,0.801592458175487
1.22270209706468,1.0603797604185,0.91194183416746
1.15185297598868,1.08807072779913,1.01438301470551
1.08283242927419,1.11504700751363,1.11418024831188
1.0208009187295,1.13929166304342,1.2038719914735
0.959246547696602,1.16334983136693,1.29287383567625
