"wave.length","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10"
"200",-0.0160593589221621,0.00784260882661958,-0.00645386837962939,-0.00414731464720776,-0.00152145432553835,0.0189184142205697,0.0330519964024,0.0533389389826755,0.00472531371014059,-0.0829382909210305
"300",-0.0902704968461007,0.0470610215019728,0.0330182002650573,0.0284893773501222,0.0193383992411469,0.0166632410532149,0.00654091378273325,-0.00442231471997028,-0.0287368601505411,-0.0149451046850743
"400",-0.168218921687577,0.0553229776017126,0.0634188434853534,0.0442703349559379,0.0263667838354512,0.00434122705667397,-0.0227523943106869,-0.0403270901706488,-0.034585411809544,0.0468614054058674
