"label";"residuals.abs";"residuals.rel"
210;-0,331098556738177;-0,0981527159571271
210,5;-0,309490278213277;-0,0878435167499084
211;-0,116645031650497;-0,0334331828514708
211,5;-0,102951902996514;-0,0284554734650397
212;0,0913996759986051;0,0257601747410178
212,5;0,207299345563507;0,058625380532666
213;0,131788823083381;0,0356890142939804
213,5;0,212825298650708;0,0580110934801723
214;0,223632377817765;0,0606099080732215
214,5;0,256036245553442;0,0698922407538128
215;0,284485378609582;0,0786958170427613
215,5;0,248152885738125;0,0688147543712391
216;0,115421362322186;0,0314568195579925
216,5;0,0556509598519592;0,0153038609206796
217;-0,101467857340414;-0,0275735366016505
217,5;-0,227174711150538;-0,0618465401150327
218;-0,212110149818577;-0,0604388516365798
218,5;-0,377893813380319;-0,107563991056677
219;-0,41120658376293;-0,121878711213412
219,5;-0,381273336843679;-0,120511200721815
220;-0,278643049604697;-0,096872149076866
220,5;-0,144063312654189;-0,056378238427656
221;-0,0143467307693674;-0,00640479052203903
221,5;0,0902727715456526;0,0462178842646184
222;0,156495123924748;0,0914962137071725
222,5;0,198021524259144;0,132031953766598
223;0,218734243064951;0,165820819547382
223,5;0,221688403901158;0,190045781312608
224;0,211714836017784;0,203944548711862
224,5;0,192132700927802;0,206328072302193
225;0,157570307750675;0,185050273341956
225,5;0,124992357379455;0,159816337270751
226;0,0944317896744621;0,130647191027203
226,5;0,0651244414488097;0,0966238003691538
227;0,0386448414475631;0,0609924896584013
227,5;0,0145416539226673;0,0241796706396197
228;-0,00632848484877935;-0,0109907691017356
228,5;-0,0243697324249573;-0,0437989439700886
229;-0,0392191343918685;-0,072360026553263
229,5;-0,0502225107007683;-0,0945631909259429
230;-0,0569143562997428;-0,108947848965817
230,5;-0,0610017668543694;-0,118037474563408
231;-0,0628522256365276;-0,122304389251854
231,5;-0,0626849525922535;-0,122145270055054
232;-0,0606654212589469;-0,117980204704292
232,5;-0,0572025912709574;-0,110707550359894
233;-0,052548379558554;-0,1009769015345
233,5;-0,0469988967199781;-0,0895046595314762
234;-0,0414970005441172;-0,0781046499983384
234,5;-0,0355357603046517;-0,0660393241119711
235;-0,0285624775722133;-0,0524467087260619
235,5;-0,0225829668485591;-0,0408741481421884
236;-0,0165658580678893;-0,0295555005671532
236,5;-0,0106467395808925;-0,0187277741088698
237;-0,00593201218436323;-0,0102736615593405
237,5;-0,000802370476025049;-0,00137063627609335
238;0,00338413356322953;0,00570007337582875
238,5;0,00768945857754155;0,0127923117244078
239;0,0106933630871405;0,0175617721910667
239,5;0,0132915880149139;0,0215737510386527
240;0,0155943926619453;0,02505123319188
240,5;0,01692539731103;0,0269212618276285
241;0,0178206825861466;0,0281038993631076
241,5;0,0180280957044173;0,0282173981912934
242;0,0181067160220192;0,02818165917824
242,5;0,0173264360992946;0,0268377263000227
243;0,0164676193121325;0,0254365451222312
243,5;0,0152208003519378;0,0234816420116289
244;0,0136864004290929;0,0211242482313518
244,5;0,0117744343642391;0,0182097654875334
245;0,00970419183809901;0,0150662813819267
245,5;0,00780387975900243;0,0121916571770074
246;0,00551021693299725;0,00867477476857249
246,5;0,00316797595666829;0,00503572716049641
247;0,000729470495597351;0,00117297072776548
247,5;-0,00144601112311671;-0,00235775497002561
248;-0,00339282276249109;-0,0056228418337605
248,5;-0,00443962263788478;-0,00750443312691815
249;-0,00601007415360111;-0,0103729274311376
249,5;-0,00642357763174062;-0,0113651408912608
250;-0,00719602433081046;-0,0130694230490564
250,5;-0,00654056362723565;-0,0122505406016776
251;-0,00686837397659812;-0,0132696560598882
251,5;-0,00628942825664019;-0,012581372787838
252;-0,00491324429528012;-0,0102146451045325
252,5;-0,00344961177928882;-0,0074715438147906
253;-0,00030928729847346;-0,000702127805842133
253,5;0,00119535001802235;0,0028406606892166
254;0,00324968899642503;0,00811407989119857
254,5;0,00553632885233973;0,0145692864535256
255;0,00663457838665987;0,0183885210273278
255,5;0,00882001573262425;0,0258879240757976
256;0,010764111384832;0,0335226140916598
256,5;0,0113339161790427;0,0373809900364206
257;0,0116918148464017;0,0408947703616708
257,5;0,0128953447560748;0,0480810766445742
258;0,0139970785031572;0,0557430446163171
258,5;0,014544568109024;0,0618654534624586
259;0,0130803477917978;0,0590002155696789
259,5;0,0117419915456813;0,0562355916938757
260;0,0100622211475519;0,0511032054217973
260,5;0,00886905969301618;0,0478890912149902
261;0,00718602535525739;0,0411335166299793
261,5;0,00493235975941633;0,0298027780025156
262;0,00252328517166553;0,0160514323897298
262,5;-0,000629715387610169;-0,00418693741762081
263;-0,00381860098797895;-0,0264446051799097
263,5;-0,00663846437037666;-0,0478275531006964
264;-0,00948721785942119;-0,0708001332792626
264,5;-0,0123652789380241;-0,0951175302924931
265;-0,0152752604868886;-0,120467353997544
265,5;-0,0182216703059992;-0,146476449405138
266;-0,0209106241031714;-0,170698972270787
266,5;-0,0234495756662337;-0,193478347081136
267;-0,0257470674403358;-0,213846075085846
267,5;-0,0280125042196927;-0,232855396672425
268;-0,03005595214271;-0,249013688009196
268,5;-0,0318879646591347;-0,262236551473147
269;-0,0333194366251228;-0,271330917142694
269,5;-0,0345614871835681;-0,277602306695326
270;-0,0357253716084865;-0,281745832874499
270,5;-0,0366224218386175;-0,282798624236428
271;-0,0372640150007828;-0,281025754153716
271,5;-0,0378615688311606;-0,277781135958625
272;-0,038226562545015;-0,272268963995833
272,5;-0,0380705813843363;-0,263282028937319
273;-0,0375053827894786;-0,251713978452877
273,5;-0,0369429818958401;-0,23988949283013
274;-0,0359957538500749;-0,22610398147032
274,5;-0,0348765502720055;-0,211629552621392
275;-0,0336988270577823;-0,197184476640037
275,5;-0,0322767806260973;-0,18204614002311
276;-0,0305254896514177;-0,16598961202511
276,5;-0,0285610593051384;-0,149691086504918
277;-0,0263007650360285;-0,132899267488774
277,5;-0,024163192964069;-0,117525257607339
278;-0,0217683740354046;-0,101959597355525
278,5;-0,0186379091892625;-0,084296287604082
279;-0,0157950829188969;-0,0688538924101872
279,5;-0,0130649627664055;-0,054848710186421
280;-0,0100744824740834;-0,0407708720116691
280,5;-0,00695250672118772;-0,0271370285760645
281;-0,00412987560283379;-0,015531687111071
281,5;-0,00153942725535589;-0,00557561483287173
282;0,0013840027021963;0,00483578861703807
282,5;0,00460360595988379;0,0155422213365422
283;0,00848065129748521;0,0277417445125457
283,5;0,0112745598047913;0,0356338805461165
284;0,0138430056801854;0,0422816300555448
284,5;0,0160420424290379;0,0473495939463928
285;0,0185262539647643;0,0529472819798921
285,5;0,0210489297984765;0,0583234408381172
286;0,0229622631914453;0,0616602126515718
286,5;0,0246175708416915;0,0641082574002382
287;0,0266655323855535;0,067507676925452
287,5;0,0279564477207043;0,0687735491284238
288;0,0281405099023854;0,0671931946093251
288,5;0,0284680911331257;0,0661126129426978
289;0,0295900391611912;0,0670671785158458
289,5;0,0296579812276219;0,0655569876826302
290;0,0293246325587053;0,063267815660637
290,5;0,0296441062926003;0,062619573917618
291;0,0287722216575759;0,0594590238842237
291,5;0,028166807186546;0,0570755971358582
292;0,0272879957593444;0,0542828640528036
292,5;0,0252985083110023;0,0493822141538207
293;0,0239639231311356;0,0460401981385891
293,5;0,021752927805781;0,0411363990275737
294;0,0193375510174156;0,0360438975161522
294,5;0,01739337161965;0,0320378920973477
295;0,0143997026378108;0,0262051003417848
295,5;0,0115397481124042;0,0207885932487916
296;0,00870073099586477;0,0155425705535276
296,5;0,00547399063013476;0,00970565714562901
297;0,00235504866926861;0,00415206041831561
297,5;-0,000856357337235436;-0,00150343633643862
298;-0,00435627312310982;-0,00762385915840011
