data,particle,signal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
observation,Mc,a,8.4597,8.5452,8.8245,9.1123,9.3826,9.5583,9.6982,9.7934,9.8829,9.9231,9.9512,9.9686,9.9839,9.9992,10.0047,10.0154,10.0352,10.059,10.0824,10.1129,10.1419,10.1525,10.1661,10.183,10.2059,10.2257,10.2517,10.2762,10.3179,10.3692,10.4139,10.4615,10.5138
deviation,Mc,a,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
