tot	tot
Ag	Porf
0	3.82E-03
0.002255837	0.003759728
0.003723048	0.003723048
0.00444597	0.003704975
0.005161907	0.003687076
0.00587096	0.00366935
0.006573228	0.003651793
0.007268807	0.003634404
0.007957794	0.003617179
0.009316359	0.003583215
