"wavelength","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10"
"200",0.0908528201688032,0.0431052204775643,0.00861655911964921,-0.00525343020880987,0.00637643066082224,-0.0260487212093159,-0.0148569092556288,-0.00822569517272624,0.0130605577057698,0.0109584154620875
"300",0.015494862699699,0.00932983015868014,-0.0084810888823029,-0.00491124501615193,0.00666692019228531,-0.0187245145093874,-0.016137207946115,-0.000822213408426672,0.00641022678673038,0.015412497998531
"400",0.00737681774249923,-0.000391205782438557,-0.0181424820854381,0.00493944286312584,0.0154727705669474,0.00655670551209719,-0.000388493068970628,0.00289767458796029,-0.00237012412701585,-0.011846822634291
