"";"rn";"S_1";"S_2";"S_3";"S_4";"S_5";"S_6";"S_7";"S_8";"S_9";"S_10";"S_11";"S_12";"S_13";"S_14";"S_15";"S_16";"S_17";"S_18";"S_19";"S_20";"S_21";"S_22";"S_23";"S_24";"S_25";"S_26";"S_27";"S_28";"S_29";"S_30";"S_31"
"1";"-lg(C(molecule3))";6,14;6,14;6,14;6,14;6,14;6,14;6,14;6,14;6,14;6,14;6,14;6,14;6,14;6,16;6,21;6,36;6,72;7,31;7,96;8,59;9,2;9,81;10,42;11,02;11,62;12,22;12,82;13,42;14,02;16,62;15,22
"2";"molecule3_1";72,91;72,91;72,91;72,91;72,91;72,91;72,91;72,91;72,91;72,89;72,83;72,59;71,75;68,98;61,19;43,61;19,06;4,88;1,11;0,26;0,06;0,02;0;0;0;0;0;0;0;0;0
"3";"molecule2 + molecule3_1";0;0;0;0;0;0;0;0;0,01;0,03;0,12;0,44;1,6;5,39;16,08;40,19;73,86;93,31;98,48;99,64;99,91;99,98;99,99;100;100;100;100;100;100;100;100
"4";"- molecule1 + molecule3_1";27,09;27,09;27,09;27,09;27,09;27,09;27,09;27,09;27,09;27,08;27,06;26,97;26,66;25,63;22,73;16,2;7,08;1,81;0,41;0,1;0,02;0,01;0;0;0;0;0;0;0;0;0
