data;particle;1;2;3;4;5;6;7;8;9;10;11;12
observation;H;182.8;171.2;157.2;149.8;144.2;138;134.4;131.8;128.3;124.8;122.5;120.7
deviaton;H;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
