tot;tot;tot
H;L;Ni
0,0102;0,01377;0,01751
0,0101;0,01708;0,01734
0,009981;0,02127;0,01713
0,009827;0,02646;0,01687
0,009727;0,02984;0,01669
0,009603;0,03403;0,01648
0,009497;0,03762;0,0163
0,0093629;0,04214;0,01607
0,009237;0,04641;0,01585
0,009115;0,05053;0,01564
0,008996;0,05452;0,01544
0,008903;0,05769;0,01528
