"PLP","MF3H","Comp"
0.000866231999999999,4.51118990547987e-21,9.95488810094521e-19
0.000766401841991093,5.03946107458369e-07,9.83901640133095e-05
0.000667052029710654,1.15520770043384e-06,0.000196304761944657
0.000568255765541592,2.02864251197373e-06,0.000293670567653566
0.000470146382489054,3.2592279448014e-06,0.000390354224534512
0.000372990994416143,5.11571139746197e-06,0.000486088595279912
0.000277401057123307,8.21117143326059e-06,0.000580262200799438
0.000185065914665106,1.42365641856708e-05,0.000671185673901997
0.000101822475382823,2.90303994787467e-05,0.000753022083261834
4.52262164183125e-05,7.01497454278695e-05,0.000808215928903468
2.24877506706044e-05,0.000144806795482427,0.000829556575243828
1.40663660210948e-05,0.000233462407736223,0.000836584711865896
1.0096766663739e-05,0.000326252846342038,0.000839165612187431
7.84293614831938e-06,0.000420443644638474,0.000840035270416972
6.40175013144043e-06,0.00051513321798368,0.000840096788802867
5.40413198866995e-06,0.000609954019449402,0.000839719222022746
4.67377913249105e-06,0.000704731266220112,0.000839078850869752
4.11645863564403e-06,0.000799372235296594,0.000838269886637393
