wavelength	2MF3H	2MF3H_adj.r.squared	PLP	PLP_adj.r.squared
314.5	0	-0.44	1800	0.999481661
315	0	-0.44	1832	0.999563922
315.5	0	-0.44	1860	0.999514552
316	0	-0.44	1886	0.999652596
316.5	0	-0.44	1918	0.99971626
317	0	-0.44	1938	0.999722085
317.5	0	-0.44	1966	0.999680288
318	0	-0.44	1998	0.999738523
318.5	0	-0.44	2018	0.999743679
319	0	-0.4	2044	0.999833429
319.5	0	-0.4	2070	0.999789989
320	0	-0.4	2090	0.999793989
320.5	0	-0.44	2110	0.999905668
321	0	-0.44	2138	0.999771641
321.5	0	-0.44	2158	0.999775853
322	0	-0.44	2172	0.999816878
322.5	0	-0.44	2196	0.999880567
323	0	-0.44	2216	0.999760559
323.5	0	-0.44	2230	0.999819041
324	0	-0.44	2248	0.999900274
324.5	0	-0.44	2256	0.999886835
325	0	-0.44	2268	0.999902025
325.5	0	-0.44	2282	0.999845624
326	0	-0.44	2290	0.999828398
326.5	0	-0.44	2296	0.999776952
327	0	-0.254545455	2304	0.999755899
327.5	0	-0.44	2304	0.999868899
328	0	-0.44	2310	0.999831356
328.5	3.472222222	-0.472727273	2310	0.999831356
329	0	-0.254545455	2310	0.999831356
329.5	0	-0.44	2316	0.999780787
330	0	-0.484210526	2316	0.999892622
330.5	0	-0.35	2310	0.999696469
331	3.472222222	-0.472727273	2312	0.999726167
331.5	0	-0.35	2306	0.999767602
332	0	-0.35	2304	0.999868899
332.5	0	-0.35	2298	0.999666034
333	0	-0.35	2298	0.999802329
333.5	3.472222222	-0.472727273	2292	0.999721368
334	3.472222222	-0.472727273	2278	0.999798843
334.5	3.472222222	-0.472727273	2278	0.999798843
335	3.472222222	-0.472727273	2272	0.999716442
335.5	3.472222222	-0.472727273	2266	0.999759326
336	3.472222222	-0.472727273	2260	0.999671151
336.5	3.472222222	-0.472727273	2252	0.999711384
337	3.472222222	-0.472727273	2252	0.999711384
337.5	3.472222222	-0.472727273	2246	0.999755021
338	3.472222222	-0.4	2240	0.999665253
338.5	0	-0.5	2246	0.999755021
339	0	-0.5	2246	0.999755021
339.5	0	-0.254545455	2246	0.999755021
340	0	-0.5	2248	0.999615415
340.5	0	-0.5	2252	0.999711384
341	0	-0.254545455	2254	0.999709535
341.5	0	-0.254545455	2268	0.999622166
342	0	-0.254545455	2276	0.99956462
342.5	0	-0.5	2286	0.999763518
343	0	-0.254545455	2292	0.999721368
343.5	0	-0.5	2314	0.9997244
344	0	-0.5	2322	0.999672901
344.5	0	-0.5	2334	0.999729102
345	0	-0.5	2360	0.999806115
345.5	0	-0.5	2380	0.99980936
346	0	-0.5	2394	0.999742508
346.5	0	-0.5	2414	0.999746756
347	3.472222222	-0.472727273	2442	0.999704252
347.5	3.472222222	-0.472727273	2470	0.999655867
348	13.88888889	0.1	2494	0.99976274
348.5	3.472222222	-0.472727273	2522	0.999722714
349	3.472222222	-0.4	2554	0.999773755
349.5	3.472222222	-0.472727273	2580	0.999747654
350	0	-0.35	2608	0.999802427
350.5	0	-0.35	2642	0.999747326
351	0	-0.35	2674	0.999793603
351.5	0	-0.35	2708	0.999816748
352	0	-0.35	2742	0.999765417
352.5	0	-0.35	2774	0.999808214
353	0	-0.35	2814	0.999813626
353.5	0	-0.35	2848	0.99983432
354	0	-0.35	2888	0.999838877
354.5	0	-0.35	2928	0.999843248
355	0	-0.35	2962	0.999853664
355.5	0	-0.35	3008	0.999851475
356	0	-0.35	3054	0.999841765
356.5	0	-0.35	3080	0.999886161
357	0	-0.35	3132	0.999911927
357.5	0	-0.35	3166	0.999876701
358	0	-0.35	3208	0.999869415
358.5	0	-0.35	3252	0.999918306
359	0	-0.35	3300	0.999900833
359.5	0	-0.35	3340	0.999935461
360	0	-0.35	3374	0.999912513
360.5	0	-0.35	3418	0.999951725
361	0	-0.35	3466	0.999937072
361.5	0	-0.35	3512	0.999929954
362	0	-0.35	3546	0.999939879
362.5	0	-0.35	3598	0.999956434
363	0	-0.35	3646	0.999943131
363.5	0	-0.35	3686	0.999944359
364	0	-0.35	3730	0.999969813
364.5	0	-0.35	3772	0.999939277
365	0	-0.35	3818	0.99996131
365.5	0	-0.35	3864	0.999977496
366	0	-0.35	3910	0.999972528
366.5	0	-0.35	3950	0.999973082
367	0	-0.35	3992	0.999968374
367.5	0	-0.35	4030	0.999988917
368	0	-0.35	4064	0.999979656
368.5	0	-0.35	4112	0.999970193
369	0	-0.35	4156	0.999987495
369.5	0	-0.35	4192	0.999978148
370	0	-0.35	4230	0.99998994
370.5	0	-0.35	4268	0.999992095
371	0	-0.35	4310	0.99999031
371.5	0	-0.35	4350	0.999990488
372	0	-0.35	4390	0.99999066
372.5	0	-0.35	4430	0.999990828
373	0	-0.35	4462	0.999995781
373.5	0	-0.35	4490	0.999991072
374	0	-0.35	4530	0.999991229
374.5	0	-0.35	4556	0.999995375
375	0	-0.35	4592	0.999981789
375.5	0	-0.35	4628	0.999998879
376	0	-0.35	4664	0.99999007
376.5	0	-0.35	4684	0.999990155
377	0	-0.35	4718	0.999985445
377.5	0	-0.35	4738	0.999985567
378	0	-0.35	4766	0.999977284
378.5	0	-0.35	4792	0.999978052
379	0	-0.35	4818	0.999975704
379.5	0	-0.35	4844	0.999985681
380	0	-0.35	4872	0.999978767
380.5	0	-0.35	4892	0.99997894
381	0	-0.35	4912	0.999964191
381.5	0	-0.35	4932	0.999964481
382	0	-0.35	4952	0.999979448
382.5	0	-0.35	4972	0.99996505
383	0	-0.35	4984	0.999971981
383.5	0	-0.35	4998	0.999977422
384	0	-0.35	5018	0.999977602
384.5	0	-0.35	5024	0.999972426
385	0	-0.35	5038	0.999958869
385.5	0	-0.35	5052	0.999966149
386	0	-0.35	5052	0.999966149
386.5	0	-0.35	5064	0.99997286
387	0	-0.35	5072	0.999966415
387.5	0	-0.35	5078	0.999959514
388	0	-0.35	5078	0.999959514
388.5	0	-0.35	5078	0.999959514
389	0	-0.35	5078	0.999959514
389.5	0	-0.35	5084	0.999973073
390	0	-0.35	5072	0.999943093
390.5	0	-0.35	5066	0.999951841
391	0	-0.35	5058	0.999959193
391.5	0	-0.35	5052	0.999942641
392	0	-0.35	5038	0.999958869
392.5	0	-0.35	5026	0.999951072
393	0	-0.35	5010	0.999964144
393.5	0	-0.35	4996	0.999976923
394	0	-0.35	4978	0.999957871
394.5	0	-0.35	4962	0.999967346
395	0	-0.35	4938	0.999957186
395.5	0	-0.35	4910	0.999962669
396	0	-0.35	4890	0.999962363
396.5	0	-0.35	4862	0.999965989
397	0	-0.35	4836	0.999975371
397.5	0	-0.35	4808	0.999978198
398	0	-0.35	4770	0.999960446
398.5	0	-0.35	4736	0.99997432
399	0	-0.35	4702	0.999963635
399.5	0	-0.35	4668	0.999976871
400	0	-0.35	4630	0.999958017
400.5	0	-0.35	4588	0.999976057
401	0	-0.35	4548	0.999946628
401.5	0	-0.35	4508	0.9999752
402	0	-0.35	4462	0.999959618
402.5	0	-0.35	4422	0.999958884
403	0	-0.35	4368	0.999973585
403.5	0	-0.35	4322	0.99995696
404	0	-0.35	4280	0.999973797
404.5	0	-0.35	4220	0.999973047
405	0	-0.35	4168	0.999970989
405.5	0	-0.35	4122	0.999952682
406	0	-0.35	4068	0.999969545
406.5	0	-0.35	4008	0.999968626
407	0	-0.35	3948	0.999967665
407.5	0	-0.35	3888	0.99996666
408	0	-0.35	3834	0.999948572
408.5	0	-0.35	3774	0.999946923
409	0	-0.35	3714	0.999945195
409.5	0	-0.35	3656	0.999956908
410	0	-0.35	3596	0.999955458
410.5	0	-0.35	3528	0.999959509
411	0	-0.35	3468	0.999958096
411.5	0	-0.35	3408	0.999956607
412	0	-0.35	3336	0.999948245
412.5	0	-0.35	3282	0.999969921
413	0	-0.35	3214	0.999973282
413.5	0	-0.35	3150	0.999957673
414	0	-0.35	3082	0.999965891
414.5	0	-0.35	3016	0.99993668
415	0	-0.35	2942	0.999962567
415.5	0	-0.35	2874	0.999966586
416	0	-0.35	2810	0.999946811
416.5	0	-0.35	2742	0.999956908
417	0	-0.35	2676	0.999919568
417.5	0	-0.35	2608	0.999978829
418	0	-0.35	2544	0.999948085
418.5	0	-0.35	2468	0.999976359
419	0	-0.35	2408	0.999975166
419.5	0	-0.35	2344	0.999938849
420	0	-0.35	2276	0.999958304
420.5	0	-0.35	2210	0.999963147
421	0	-0.35	2150	0.999961061
421.5	0	-0.35	2084	0.999922639
422	0	-0.35	2018	0.999920443
422.5	0	-0.35	1950	0.999952664
423	0	-0.35	1890	0.999949611
423.5	0	-0.35	1830	0.999946253
424	0	-0.35	1764	0.999892028
424.5	0	-0.35	1710	0.999938445
425	0	-0.35	1650	0.999933887
425.5	0	-0.35	1590	0.999928804
426	0	-0.35	1524	0.999907006
426.5	0	-0.35	1476	0.999955936
427	0	-0.35	1422	0.99995846
427.5	0	-0.35	1370	0.999904103
428	0	-0.35	1316	0.99994457
428.5	0	-0.35	1264	0.999864818
429	0	-0.35	1212	0.999738633
429.5	0	-0.35	1170	0.999868519
430	0	-0.35	1124	0.999829049
430.5	0	-0.35	1076	0.999917087
431	0	-0.35	1030	0.999830352
431.5	0	-0.35	984	0.999776952
432	0	-0.35	936	0.999890431
432.5	0	-0.35	896	0.99988043
433	0	-0.35	864	0.999710704
433.5	0	-0.35	824	0.999681941
434	0	-0.35	784	0.999648666
434.5	0	-0.35	750	0.999680068
435	0	-0.35	716	0.999812763
435.5	0	-0.35	678	0.999295499
436	0	-0.35	650	0.999574085
436.5	0	-0.35	616	0.99943098
437	0	-0.35	588	0.999930588
437.5	0	-0.35	556	0.999689521
438	0	-0.35	530	0.999359476
438.5	0	-0.35	504	0.999150142
439	0	-0.35	476	0.999576421
439.5	0	-0.35	452	0.9981228
440	0	-0.35	430	0.999027132
440.5	0	-0.35	404	0.998677767
441	0	-0.35	382	0.999424579
441.5	0	-0.35	362	0.999359268
442	0	-0.35	342	0.999282174
442.5	0	-0.35	324	0.997945205
443	0	-0.35	308	0.999747049
443.5	0	-0.35	296	0.998905109
444	0	-0.35	276	0.997169811
444.5	0	-0.35	256	0.998536585
445	0	-0.35	250	0.997125519
445.5	0	-0.35	230	0.996605055
446	0	-0.35	216	0.997945205
446.5	0	-0.35	208	0.999445471
447	0	-0.35	194	0.999044079
447.5	0	-0.35	188	0.999321267
448	0	-0.35	168	0.999150142
448.5	0	-0.35	162	0.996806084
449	0	-0.35	154	0.998483572
449.5	0	-0.35	142	0.995845697
450	0	-0.35	136	0.994827586
450.5	0	-0.35	130	0.989424207
451	0	-0.35	120	1
451.5	0	-0.35	114	0.997235023
452	0	-0.35	102	0.991969407
452.5	0	-0.35	100	1
453	0	-0.35	94	0.995936795
453.5	0	-0.35	88	0.996907216
454	0	-0.35	82	0.987610619
454.5	0	-0.35	82	0.987610619
455	0	-0.35	74	0.993454545
455.5	0	-0.35	68	0.994827586
456	0	-0.35	62	0.978461538
456.5	0	-0.35	56	0.97
457	0	-0.35	48	0.989655172
457.5	0	-0.35	54	0.987755102
458	0	-0.35	48	0.989655172
458.5	0	-0.35	40	1
459	0	-0.35	42	0.953846154
459.5	0	-0.35	36	0.929411765
460	0	-0.35	34	0.969491525
460.5	0	-0.35	28	0.97
461	0	-0.35	30	0.823529412
461.5	0	-0.35	28	0.836363636
462	0	-0.35	28	0.97
462.5	0	-0.35	28	0.97
463	0	-0.35	22	0.844444444
463.5	0	-0.35	20	1
464	0	-0.35	22	0.844444444
464.5	0	-0.35	22	0.844444444
465	0	-0.35	16	0.7
465.5	0	-0.35	16	0.7
466	0	-0.35	14	0.836363636
466.5	0	-0.35	14	0.836363636
467	0	-0.35	8	0.7
467.5	0	-0.35	8	0.7
468	0	-0.35	8	0.7
468.5	0	-0.35	8	0.7
469	0	-0.35	10	0.181818182
469.5	0	-0.35	10	0.181818182
470	0	-0.35	4	-0.35
470.5	0	-0.35	2	-0.4
471	0	-0.35	2	-0.4
471.5	0	-0.35	2	-0.4
472	0	-0.35	2	-0.4
472.5	0	-0.35	2	-0.4
473	0	-0.35	2	-0.4
473.5	0	-0.35	2	-0.4
474	0	-0.35	2	-0.4
474.5	0	-0.35	2	-0.4
475	0	-0.35	2	-0.4
475.5	0	-0.35	2	-0.4
476	0	-0.35	2	-0.4
476.5	0	-0.35	2	-0.4
477	0	-0.35	0	-0.2
477.5	0	-0.35	0	-0.2
478	0	-0.35	0	-0.2
478.5	0	-0.35	0	-0.2
479	0	-0.35	0	-0.2
479.5	0	-0.35	0	-0.2
480	0	-0.35	0	-0.2
480.5	0	-0.35	0	-0.2
481	0	-0.35	0	0.4
481.5	0	-0.35	0	-0.2
482	0	-0.35	0	-0.2
482.5	0	-0.35	0	-0.2
483	0	-0.35	0	-0.2
483.5	0	-0.35	0	-0.2
484	0	-0.35	0	0.4
484.5	0	-0.35	0	0.4
485	0	-0.35	0	0.4
485.5	0	-0.35	0	0.4
486	0	-0.35	0	-0.2
486.5	0	-0.35	0	-0.2
487	0	-0.35	0	-0.2
487.5	0	-0.35	0	-0.2
488	0	-0.35	0	-0.2
488.5	0	-0.35	0	-0.2
489	0	-0.35	0	-0.2
489.5	0	-0.35	0	0.4
490	0	-0.35	0	-0.2
490.5	0	-0.35	0	0.4
491	0	-0.35	0	0.4
491.5	0	-0.35	0	-0.2
492	0	-0.35	0	-0.2
492.5	0	-0.35	0	-0.2
493	0	-0.35	0	-0.2
493.5	0	-0.35	0	0.4
494	0	-0.35	0	0.4
494.5	0	-0.35	0	-0.2
495	0	-0.35	0	0.4
495.5	0	-0.35	0	0.4
496	0	-0.35	0	-0.2
496.5	0	-0.35	0	0.4
497	0	-0.35	0	0.4
497.5	0	-0.35	0	-0.2
498	0	-0.35	0	0.4
498.5	0	-0.35	0	0.4
499	0	-0.35	0	0.4
499.5	0	-0.35	0	0.4
500	0	-0.35	0	0.4
