"M";"L";"H";"HL";"H2L";"ML";"MLH"
9,99999999999921e-21;9,99983910148497e-21;1,249e-09;1,6089978011125e-25;2,90481105655066e-32;7,76234626927792e-34;3,43997630087067e-41
0,0102315928109975;3,80047892307287e-08;0,0117646763940797;5,75994470248836e-06;9,79486150823237e-06;0,00301843325127137;0,00125997393840324
0,01486;1,8099339021224e-24;0,01249;2,91222652596623e-22;5,25760060452395e-22;2,08776457559719e-19;9,25217764411804e-20
0,0102236463659577;3,80982595817654e-08;0,0117717142352205;5,77756509555348e-06;9,83070260498776e-06;0,00302350684004126;0,00126284679467712
0,01486;8,51630523495719e-24;0,03951;4,33469204104124e-21;2,47551338029945e-20;9,82358547108653e-19;1,3771367178572e-18
0,0109656369334438;1,79829271043446e-08;0,0370757028511743;8,58914187804877e-06;4,60298086386805e-05;0,00153071467688585;0,00201364838967036
0,01486;8,51630523495719e-24;0,03951;4,33469204104124e-21;2,47551338029945e-20;9,82358547108653e-19;1,3771367178572e-18
0,0109027128309085;1,83655911831158e-08;0,037044405010693;8,76450789283371e-06;4,69299574244688e-05;0,00155431660252635;0,00204297056656521
