"tot","tot","X3"
"PRZ","ALB","series"
"0","0.0001634","a"
"1.12E-005","0.000163066530612245","a"
"6.70857142857143E-005","0.000161402586422324","a"
"0.000122401166180758","0.000159755621254749","a"
"0.000177152174689118","0.000158125461854191","a"
"0.000231344499437188","0.00015651193673323","a"
"0.000284983841279666","0.000154914876154319","a"
"0.000338075842899261","0.000153334112111928","a"
"0.000390626089400289","0.000151769478314867","a"
"0.000442640108896204","0.000150220810168797","a"
"0.000494123373091141","0.000148687944758912","a"
"0.000545081297855517","0.0001471707208328","a"
"0.000595519243795767","0.000145668978783486","a"
"0.000645442516818259","0.000144182560632634","a"
"0.00069485636868746","0.000142711310013934","a"
"0.000743765997578405","0.000141255072156649","a"
"0.000792176548623523","0.000139813693869336","a"
"0.000840093114453895","0.000138387023523731","a"
"0.000887520735734978","0.000136974911038795","a"
"0.000934464401696866","0.000135577207864929","a"
"0.000980929050659143","0.000134193766968348","a"
"0.00102691957055038","0.00013282444281561","a"
"0.00107244079942231","0.000131469091358308","a"
"0.00111749752595882","0.000130127570017917","a"
"0.00116209448997965","0.000128799737670795","a"
"0.00120623638293904","0.000127485454633338","a"
