"V1","V2","V3"
0.0908525052010297,0.015494759511423,0.00737684221385291
0.0431049022689485,0.00932968226315393,-0.000391160670258022
0.0086162816616145,-0.00848124390807144,-0.0181424232002636
-0.00525365060399448,-0.0049113844417845,0.00493950850626752
0.00637627925061351,0.00666681704488845,0.0154728283584169
-0.0260487860538854,-0.0187245616341504,0.00655673693472698
-0.0148568919947001,-0.0161371955261516,-0.000388502582705086
-0.00822561616742488,-0.000822152858422593,0.00289762323550918
0.013060652147005,0.00641029981477792,-0.00237019144721332
0.0109584676197878,0.0154125392575843,-0.0118468628500749
