"wavelength"	"INH"	"INH_adj.r.squared"	"PL"	"PL_adj.r.squared"
"190"	3590	0.999994827282979	553.74149659864	-0.455282009842606
"190.5"	6890	0.150937373221465	1481.63265306123	0.101108526070891
"191"	7680	0.556556818961528	857.142857142856	-0.329034425721079
"191.5"	1280	-0.299609564250905	1821.76870748299	0.658309985937726
"192"	6810	0.934524587519779	2571.42857142857	0.534371923321945
"192.5"	2860	0.308777880892188	2376.87074829932	0.558800122578071
"193"	0	-0.442389758179234	914.285714285716	0.0212429013343183
"193.5"	5169.99999999999	0.583859728131407	374.149659863946	-0.274341300390892
"194"	8360	0.961820675820074	1921.08843537415	0.606807499574393
"194.5"	4910	0.989084338542268	1070.74829931973	0.729597988287067
"195"	3229.99999999999	-0.219082620997321	624.489795918369	-0.0638044430948432
"195.5"	10390	0.904492597998454	1014.96598639455	0.909424596474642
"196"	5460	0.644100637162806	1976.87074829932	0.969508796922528
"196.5"	3140	-0.142857142857144	1594.55782312926	0.981134082870863
"197"	3609.99999999999	-0.831133688259701	733.333333333333	0.248746166335919
"197.5"	5340	0.311697312414902	491.156462585034	0.30679130811614
"198"	11860	0.720476245226662	487.074829931971	-0.041987897269737
"198.5"	11060	0.794648489881192	851.700680272108	0.197288256227757
"199"	7860	0.378606834911247	980.952380952382	0.474781075962421
"199.5"	2710	-0.535150200647305	1069.38775510204	0.881558232452739
"200"	6450	0.773745875009593	1197.27891156462	0.689067458286418
"200.5"	6390	0.94215993734165	1325.17006802721	0.855819581538931
"201"	4650	0.940525550589629	983.673469387754	0.169195908491545
"201.5"	2330	0.29735219614778	1321.08843537415	0.456528928973613
"202"	6160	0.914117856746514	881.632653061226	0.364854176964902
"202.5"	2330	-0.674295964771242	741.496598639452	0.941052801811271
"203"	3630	0.578286074756654	1307.48299319728	0.897446269778422
"203.5"	2650	0.861908970393284	1156.46258503401	0.461896900628393
"204"	2340	-0.0954006784439849	2040.81632653061	0.67490200446985
"204.5"	7640	0.645694436873733	1647.61904761905	0.868929981610955
"205"	12030	0.739128710586845	1921.08843537414	0.865503260095339
"205.5"	3560	0.995884428019486	1823.12925170068	0.973252379389563
"206"	2110	0.0234242103811304	1512.92517006803	0.407470865093886
"206.5"	5320	0.911730137930103	2027.21088435375	0.78483957590629
"207"	4890	0.967415570097251	1695.23809523809	0.587612438001478
"207.5"	3490	0.838764706474372	2210.8843537415	0.67883115008534
"208"	4020	0.995242485101899	2291.15646258504	0.768173606100898
"208.5"	5010	0.986699980476067	2451.70068027211	0.666766316455152
"209"	6300	0.99731611171685	3510.20408163265	0.732465820384827
"209.5"	6740	0.999947170077132	4552.38095238095	0.812824638014249
"210"	6720	0.999285733259742	5904.7619047619	0.882958519174065
"210.5"	6910	0.999931587750577	6741.49659863946	0.889744868415318
"211"	6920	0.99991090421089	7793.19727891157	0.904229210036156
"211.5"	6920	0.999977725308504	8677.55102040817	0.957404640320246
"212"	6780	0.999791182689045	8751.02040816327	0.990549690004929
"212.5"	6680	0.999784884554711	9523.80952380952	0.999962653991064
"213"	6560	0.999696407384116	8908.84353741497	0.99637822917035
"213.5"	6440	0.999588577893776	8889.79591836735	0.999560807630651
"214"	6300	0.999570093269609	8481.63265306123	0.999190509966377
"214.5"	6160	0.999430926009843	8151.02040816326	0.999701915487567
"215"	6020	0.999404157655471	7710.20408163265	0.999523456662152
"215.5"	5870	0.999301786729693	7386.39455782313	0.999728589903958
"216"	5720	0.999340038864378	7035.37414965986	0.999678406878302
"216.5"	5570	0.999224579747999	6703.40136054422	0.999673443197382
"217"	5420	0.999092653670443	6425.85034013606	0.999679582206392
"217.5"	5260	0.99903664134639	6148.29931972789	0.999669977095206
"218"	5120	0.998983264534234	5921.08843537415	0.999653510188828
"218.5"	4980	0.998925326297803	5740.13605442177	0.999618017809548
"219"	4840	0.998862291799399	5606.80272108844	0.999638482615994
"219.5"	4720	0.998803741895351	5499.31972789115	0.999592833278261
"220"	4600	0.998740554156171	5425.85034013605	0.999596817282923
"220.5"	4480	0.998672225615423	5380.95238095238	0.999582970496361
"221"	4370	0.998740554156171	5375.51020408163	0.999606711584333
"221.5"	4270	0.998388829215897	5389.1156462585	0.99959722781097
"222"	4190	0.998326769412889	5424.48979591837	0.999637170153613
"222.5"	4100	0.998414899940559	5478.91156462585	0.999644340598283
"223"	4020	0.998351236160688	5551.02040816327	0.999668470061405
"223.5"	3950	0.99811746023615	5632.65306122449	0.999678007942471
"224"	3890	0.998410825754307	5722.44897959184	0.999713120174162
"224.5"	3840	0.998193184692661	5827.21088435374	0.999715003208871
"225"	3790	0.998325929086171	5925.17006802721	0.999760399239709
"225.5"	3760	0.998473325605722	6036.73469387755	0.999801468543633
"226"	3720	0.998440343124513	6152.38095238095	0.999768527120563
"226.5"	3700	0.998423449725564	6268.02721088435	0.999815848218229
"227"	3680	0.998406280435617	6386.39455782313	0.999810495534211
"227.5"	3660	0.998388829215897	6503.40136054422	0.999824078336779
"228"	3650	0.998195162435381	6625.85034013606	0.999830519764684
"228.5"	3640	0.998371089861543	6742.85714285714	0.99983976916338
"229"	3650	0.998195162435381	6847.61904761905	0.99983385894668
"229.5"	3650	0.998554869938294	6955.10204081633	0.999849857433434
"230"	3660	0.998388829215897	7069.38775510204	0.999832008959522
"230.5"	3670	0.998570566530483	7180.95238095238	0.999856998974154
"231"	3680	0.998740554156171	7299.31972789116	0.999850448628061
"231.5"	3690	0.998586008826436	7382.31292517007	0.999817422684824
"232"	3700	0.998423449725564	7480.27210884354	0.999840429860257
"232.5"	3710	0.998601202288414	7571.42857142857	0.999831948753571
"233"	3730	0.998616152232831	7647.61904761905	0.999826546763148
"233.5"	3740	0.998456966510458	7726.5306122449	0.99981333158477
"234"	3750	0.998630863834908	7810.8843537415	0.999815521187533
"234.5"	3770	0.998645342133141	7872.10884353742	0.999788367183832
"235"	3780	0.998806270808658	7946.9387755102	0.999839365480459
"235.5"	3780	0.998806270808658	7987.75510204082	0.999804456426722
"236"	3800	0.998505273064467	8021.76870748299	0.999754778031839
"236.5"	3800	0.998818795910081	8099.31972789116	0.999874468044584
"237"	3810	0.998673618314164	8114.28571428571	0.999804182499886
"237.5"	3810	0.998673618314164	8118.36734693878	0.999713326123196
"238"	3810	0.998673618314164	8142.85714285714	0.999762601883358
"238.5"	3810	0.998967198215319	8148.29931972789	0.999755226455947
"239"	3810	0.998673618314164	8141.49659863946	0.99978454991707
"239.5"	3800	0.998818795910081	8141.49659863946	0.99978454991707
"240"	3790	0.998956274875449	8106.12244897959	0.999752588609274
"240.5"	3780	0.998806270808658	8091.15646258503	0.99979619251199
