H;L;M;H+L;L+M;2L+M;M;
0.1;7.184971860363533e-06;0.005;0.0009918022097660346;1.0125001026431993e-06;1.5915494890025577e-10;6.294627058970815e-11;1.3182567385564006e-13
0.01;6.691123005003365e-05;0.005;0.0009236320908629021;9.4290734341462e-06;1.380282658894336e-08;6.294627058970823e-10;1.3182567385564021e-12
0.0001;0.007544457667507364;0.005;0.001041425064918975;0.0010631585357874992;0.00017547936589339678;6.294627058970815e-08;1.3182567385564005e-10
