rn;p(L);L;H+L;L+M;2L+M;series
S_1;5.143574928422277;0.7184971860363533;99.18022097660347;0.10125001026431993;3.183098978005115e-05;
S_2;4.174500986276123;6.691123005003365;92.36320908629021;0.94290734341462;0.002760565317788672;
S_3;2.1223719739764366;75.44457667507363;10.41425064918975;10.631585357874993;3.5095873178679353;
