"tot"	"tot"	"tot"	"tot"	"X5"
"M"	"L"	"H"	"OH"	"series"
"1.0000000000000001E-9"	"2.0369999999999999E-2"	"1.8884645371290802E-12"	"1.009E-2"	"a"
"1.0189999999999999E-2"	"2.0369999999999999E-2"	"1.8884645371290802E-12"	"1.009E-2"	"a"
"1.0000000000000001E-9"	"2.0369999999999999E-2"	"1.8884645371290802E-12"	"1.009E-2"	"b"
"1.0189999999999999E-2"	"2.0369999999999999E-2"	"1.8884645371290802E-12"	"1.009E-2"	"b"
"1.0000000000000001E-9"	"2.0369999999999999E-2"	"1.8884645371290802E-12"	"1.009E-2"	"c"
"1.0189999999999999E-2"	"2.0369999999999999E-2"	"1.8884645371290802E-12"	"1.009E-2"	"c"
