label;value
392;0,0588
392,5;0,0592
393;0,0596
393,5;0,0596
394;0,0597
394,5;0,0599
395;0,0601
395,5;0,0603
396;0,0602
396,5;0,06
397;0,06
397,5;0,06
398;0,0598
398,5;0,0598
399;0,0598
399,5;0,06
400;0,0601
400,5;0,0602
401;0,0602
401,5;0,0605
402;0,0605
402,5;0,0607
403;0,0607
403,5;0,0607
404;0,0606
404,5;0,0604
405;0,0599
405,5;0,0593
406;0,0584
406,5;0,0577
407;0,0574
407,5;0,057
408;0,0566
408,5;0,0561
409;0,0557
409,5;0,0551
410;0,0546
410,5;0,054
411;0,0534
411,5;0,0528
412;0,0522
412,5;0,0516
413;0,0511
413,5;0,0506
414;0,0501
414,5;0,0496
415;0,0491
415,5;0,0484
416;0,0478
416,5;0,0472
417;0,0466
417,5;0,0461
418;0,0456
418,5;0,045
419;0,0443
419,5;0,0436
420;0,0429
420,5;0,0425
421;0,0421
421,5;0,0415
422;0,0409
422,5;0,0404
423;0,0399
423,5;0,0394
424;0,0389
424,5;0,0383
425;0,0378
425,5;0,0373
426;0,0369
426,5;0,0365
427;0,0361
427,5;0,0358
428;0,0352
428,5;0,0348
429;0,0344
429,5;0,0339
430;0,0335
430,5;0,033
431;0,0325
431,5;0,0321
432;0,0315
432,5;0,0311
433;0,0307
433,5;0,0303
434;0,0299
434,5;0,0296
435;0,0293
435,5;0,029
436;0,0287
436,5;0,0284
437;0,028
437,5;0,0278
438;0,0273
438,5;0,0268
439;0,0265
439,5;0,0261
440;0,0256
440,5;0,0253
441;0,0252
441,5;0,0248
442;0,0244
442,5;0,024
443;0,0237
443,5;0,0234
444;0,0231
444,5;0,0228
445;0,0224
445,5;0,0221
446;0,0217
446,5;0,0214
447;0,021
447,5;0,0206
448;0,0203
448,5;0,0201
449;0,0198
449,5;0,0197
450;0,0198
