"data","observation","dilution","deviation","series","volumes","heats","heats.calculated","res.abs","res.rel"
1,-94.76,0,0.01,"a",1,-94.76,-94.6822150300906,0.0777849699094162,-0.000820862915886621
2,-94.74,0,0.01,"b",1,-94.74,-94.69555398987,0.0444460101300024,-0.000469136691260316
3,-94.56,0,0.01,"c",1,-94.56,-94.6822150300906,-0.122215030090587,0.00129246013209165
