"M"	"L"	"H"	"HL"	"H2L"	"MLH"	"ML2H2"	"HOHD"	"ML"	"ML2H"
6.91862267424472e-10	2.04354274500001e-07	0.000376144065325465	0.00610573484790648	0.00408406038221271	1.76099282391532e-10	8.94325319979601e-11	5.0657737117679e-11	2.45698990528379e-11	1.80360450969847e-11
0.00829470730433996	8.00443726054399e-08	0.000597093837122362	0.00379641249046838	0.00403102955392034	0.00131272712514913	0.000414522255753056	3.19122489548115e-11	0.000115380354932272	5.26629598255829e-05
6.91862267424472e-10	2.04354274500001e-07	0.000376144065325465	0.00610573484790648	0.00408406038221271	1.76099282391532e-10	8.94325319979601e-11	5.0657737117679e-11	2.45698990528379e-11	1.80360450969847e-11
0.00829470730433996	8.00443726054399e-08	0.000597093837122362	0.00379641249046838	0.00403102955392034	0.00131272712514913	0.000414522255753056	3.19122489548115e-11	0.000115380354932272	5.26629598255829e-05
6.91862267424472e-10	2.04354274500001e-07	0.000376144065325465	0.00610573484790648	0.00408406038221271	1.76099282391532e-10	8.94325319979601e-11	5.0657737117679e-11	2.45698990528379e-11	1.80360450969847e-11
0.00829470730433996	8.00443726054399e-08	0.000597093837122362	0.00379641249046838	0.00403102955392034	0.00131272712514913	0.000414522255753056	3.19122489548115e-11	0.000115380354932272	5.26629598255829e-05
1.08855047185922e-10	6.18317035924126e-07	0.000835478314408125	0.041034240003742	0.0609651400948351	1.86206554713763e-10	6.35537759945956e-10	2.28068243675855e-11	1.16966038945511e-11	5.77040342598029e-11
0.0020731873193277	2.72831333485909e-07	0.00125772558788396	0.0272571310489864	0.0609629590374001	0.00235569297069301	0.00534070793117893	1.51500513014851e-11	9.82953083714877e-05	0.000322116470428894
1.08855047185922e-10	6.18317035924126e-07	0.000835478314408125	0.041034240003742	0.0609651400948351	1.86206554713763e-10	6.35537759945956e-10	2.28068243675855e-11	1.16966038945511e-11	5.77040342598029e-11
0.0020731873193277	2.72831333485909e-07	0.00125772558788396	0.0272571310489864	0.0609629590374001	0.00235569297069301	0.00534070793117893	1.51500513014851e-11	9.82953083714877e-05	0.000322116470428894
1.08855047185922e-10	6.18317035924126e-07	0.000835478314408125	0.041034240003742	0.0609651400948351	1.86206554713763e-10	6.35537759945956e-10	2.28068243675855e-11	1.16966038945511e-11	5.77040342598029e-11
0.0020731873193277	2.72831333485909e-07	0.00125772558788396	0.0272571310489864	0.0609629590374001	0.00235569297069301	0.00534070793117893	1.51500513014851e-11	9.82953083714877e-05	0.000322116470428894
